text,label
gaada yang bikin gw seneng selain kabarnya jimin,"sedih banget waktu berita sakitnya gw bner"" kepikiran. sampe ga tenang buat tidur juga	Sad"
congratss nderr,mau bangett dong nderr
pacarku baru aja diberhentikan dari kerjaanya,karena dari awal ga jujur tentang keinginannya. sedih banget
terimakasih banyak buat kak olaa yg buat karya sebagus ituu dan makasi buat rumi iyel yang selalu kerenn dan kadang menghiburr guaa dikala gua lg sedih,sekali lagi makasii banyakk loeve u kalian semuaa	Sad
kalo liat portofolio ijo tuh kaya ada kesenangan tersendiri,tapi giliran liat dompet kosong sedih lg anjir	Sad
aku suka gt nder kalo abis pake makeup dan aku kecewa kalo ampe putus kotorannya,sensasi gelinya gadapet	Sad
ya kann,selamat baca au yang sedih sedih dah	Sad
ada ya orang,"jumat baru keluar rumah sakit. sore nya tiba2 ""jatoh"""
maauu,aku udh sebulan sepi banget :(( spes app prem	Sad
ini sepi bgtt.. pada di fb semua yakk,gw juga sih td bisa²nya bangun tidur yang dicek fb dulu	Sad
aku sedih ada anak biologi masi nanya,trs harus dgimanain ya buat tau kenanya omicron ato bukan?	Sad
sedih banget ketika orang tua ekonomi nya lagi susah tapi berusaha keras untuk kebutuhan anaknya. maafin aku yaa pak,yang selalu nyusahin. semoga nanti bisa berkali-kali lipat buat bahagia ibu dan bapak	Sad
sedih juga sih,sebenarnya mungkin mrk masih punya rasa bersalah maki2 ulama kcuali pki asli tp krn ekonomi sengaja di rontokkan
nahan tangis gk enak bgt anjirr,ini lagi di sklh	Sad
lucu banget,yeseo! sayangnya gak punya tiktok
setuju,padal aku termasuk orang yg kepo bgt sama ayato pas tahu ayato ke leaks duluan jadi kek kecewa dan ga excited lagi sama ayato mending drip marketingnya dari mihoyo langsung..	Sad
twt w mulai nga jelas ni keknya,mulai sedih
aku sedih diputusin pacar,katanya aku udah gak tampan
sepi btul,mending ke priv sj	Sad
cr7: kenapa sedih banget tampaknya kau adekku? elanga: iya bang,mo gimana lagi ga sedih
mimpi zombie,trus drama banget lah sedih gitu. akhirnya gja kegigit dan jadi zombie tapi zombie yang sadar gitu bisa ngendaliin diri. trus ada anak svt lupa siapa	Sad
ini saya tidak tau harus sedih atau tertawa. semangat mbarnim,semoga bisa kembali lagi hubungannya. ^^	Sad
sedih si sebenernya tapi thank you denise sudah bekerja keras saat bersama semoga uri mm maknae lockey bisa sukses terus ya berkarir diluar sana ditunggu karya denise yang lainnya,dan musik yang denise suka bisa segera menjadi album ya	Sad
fun fact,menggaruk bagian gatal itu engga bikin gatalnya hilang
ig temen gw story nyh denise semua emang sedih tapi mau gimana lg ini udah keputusan dia,tetap dukung secret number n denise lockey .	Sad
sedih ku cukup aku yg tau,kamu cukup tau bahwa aku baik-baik saja.:')	Sad
baru bangun rumah dh sepi,gatau pada kemana jadi kesepian	Sad
may all goes well ya kakaak walaupun gitu-gitu aja like you said. oh iya stay safe and stay healthy soalnya kasus di sana udah mulai naik.. it™s concerning t . t i™m doing all fine kok,stress sedih dikit tapi gapapa aku kuat hihi :3	Sad
innalillahi wainna ilaihi rojiun semoga almarhumah ibu diterima amal baik nya dan diampuni segala kekhilafannya yang sabar ya jayen,pasti sangat sedih kehilangan orang tua.	Sad
kertas hiyo cakep banget,baru liat sekarang
bangun,ngumpulin nyawa
terbunuh sepi 8/10 bukan lagu boyband,tapi dibawain mereka jadi keren bgt dg harmonisasi yg wowow bikin mrinding
sender jangan sedih,bisa jd nnt sender langsung diketemuin sama jodoh sender.	Sad
ternyata w belum jodoh juga sama kampus ini,sedih sih tapi gak sesedih pas w gagal kemaren. akhirnya w cepet cepet move on sambil nyari kampus negeri yg masih buka pendaftaran	Sad
gue ga ngestan sn,tapi ikut sedih denise out dari grup semoga sukses terus ke depannya buat denise	Sad
-kelemahan seorang lelaki yg apabila suami yg gak bisa sabar dengan kondisi perempuan. jika mandul,nikah lagi cari yg lain. jika di pukul atau di diskriminasi
sedih banget,gua yg ngurusin segalanya gua yg gak ikut:((	Sad
kamu senang,aku pun senang. kamu sedih
"zzullucia: kesian bgt td mau poto berempat itu bb gueseleborratu disusun buat ganjel hapenya nucil biar bs pake timer.. sedih tp agak lucu wkk	Sad
sedih drmn yak.. hmm	Sad
sangat kopong.. sedih kali lahh	Sad
dulu tak mampu hantar anak ke pengasuh kl: about rm1k first month sje. so trpkse berulang dr kg mak ke kl 2hr plus travel pegi balik. husband keje state lain. sedih weh igt balik	Sad
punya fb khusus hype mashiho tapi sepi anjr, giliran w up member lain rame. dah ku hapus. skrg mo buat lagi nyesel ngehapus	Sad
padahal de gea baru dapet penghargaan, udah dibuat sedih lagi sama tim tolol	Sad
sedih banget	Sad
12 tahun lebih bareng terus, gimana ga sedih pas ditinggalin	Sad
ikutan sedih, malah ikutan nangis pas dijauhi dan teman yg paling dekat	Sad
tau ga si kalo hari ini itu berasa kaya bahagia tapi sedih juga	Sad
orang orang di tiktok kok jahat banget sih :( padahal lockey lagi sedih kenapa terus aja di buat makin sedih heh :(. jahat banget	Sad
akun gue makin syepi sedih bener	Sad
haha iyaa meanwhile yg kumau tuh nendo.. nendo pls halo gsc sedih bgt or rerelease figure deh. apakek astaga..	Sad
sesaat sebelum lepas landaas, biasanya gk begitu sedih, kok skrg sedih..campur ngantuk juga	Sad
aku menjadikanmu sesempatnya tak seperti dulu yang selalu ada, adalah bentuk kecewa yang tak bisa ku ungkapkan, karena masih tersisa sedikit rasa yang menjadi pengalangnya. semoga bisa cepat hilang sepenuhnya.	Sad
liat mv teaser wonpil jadi galau ih, lagunya sedih kayaknya huhu	Sad
jujur ya gue gak pernah denger kabar mipa 3, beneran sepi itu kelas dan kayak angker gimana gitu	Sad
sedih sih karena video ini jadi banyak yg gak mau ke dokter perempuan. dokter² yang jaga di klinik tempat gue kerja kebanyakan perempuan dan semuanya detail jelasin penyebab keluhan pasien. mau pasien selama apapun cerita soal keluhan, tetep dijelasin sampe pasiennya ngerti.	Sad
ini kuota dari kampus ngga turun apa yak? sedih amat duit habis buat beli kuota doang	Sad
baru kali ini bangun tidur dari kosan merasa sepi, padahal biasanya dibangunin si mirza, ran","tangi kelas esuk/apel""	Sad"
wajar sih,disini yg kelahiran 98 terus baru masuk sma dan langsung pake kurikulum 2013 sedih karena gw ga bisa show up skill gw di bidang komputer sama temen kelas yg lain. padahal gw anak warnet bngt	Sad
eh asli sedih bgtt padahal debutnya juga belum lama,mana suara dia paling bagus di sn	Sad
aamiin selamat pagii juga kak sedih,hasil draw gk ada yg nyangkut	Sad
ya allah sampe ke bawa mimpi ceritanya di gedor sama salah satu host,terus salah bales dm eh ga jadi menang. sedih sedih bangun2 langsung nyesek karna mimpi	Sad
kamu kenapa ? | aku (kecewa,sakit
gimana si caranya biar bigwin? cpk bgt astaga,gapernah menang sedih bgt
terkadang,tidak peduli berapa banyak orang di sekitarmu
huhuu sedih gak sih,sorry ya gw harus isoman 2 minggu keknya	Sad
"hypeask! album da wv 1press kalian yg waktu itu ""shipsoon""",skrg statusnya gimana? tolong jangan dianggurin
iya,mnrutku jg sii design nya dah bagus. bnyak yg mau nya baju nya pkai kimono gtu
ini kalo ga ada yang kelas,sepi dong	Sad
"kebanyakan orang dengerin lagu"" kaya gini yaa salah satunya utopia inget kenang perjalanan cinta mereka tp gw gak gitu","suatu lirik dapat mewakili strategi sebuah korporasi ada lagu yg buat gw sedih saat dengar yaitu ""toxicity"" (sod)"
makasih yoongi udah bikin jumpalitan semalam dahal lg sedih,hush sedih pergi hush hush	Sad
adakah apabila takdir ku sampai..allah ambil nyawa ku..akan ramai yang sedih dengan kepemergianku,adakah ramai yang akan mahu mandikan jenazahku..adakah ramai yang akan mengangkat jenazah ku..adakah ramai yang akan mendoakan ku..aku risau..dan kerana risau aku bersedih..	Sad
and hujung 2020,dah cakap dengan diri i
sedih ngga sih,harus dengar hal yang kaya nya kalo di denger bikin ovt
udah gak mood mau unboxing paket shopee,keburu sedih deluan hehe	Sad
semuanya sih,termasuk denise juga sedih juga harus ninggalin kakak-kakaknya	Sad
aihh banyak yg bilang gitu,tapi banyak yg kecewa juga setelah nyubit pipi akuu
tak masuk skuad barcelona untuk liga europa,"dani alves kecewa berat "" bolanet "" arenanews	Sad"
gapapa beli skinnya dulu orangnya dateng nanti gapapa,tapi tetep aja sedih banget anjing¼¼ arghhhh mo nangis	Sad
pas lewat jg kaget banget,gini banget deh netizen indo sempet record saking kagetnya. beda banget sama komen orang luar. orang tua nya kalo liat terus ditranslate pasti sedih banget	Sad
tiap denger lagu kukira kau rumah jadi sedih banget,soalnya punya arti yg beda skrg. liat cuplikan filmnya di fyp juga sedih.	Sad
semalem mimpi orang yang udah lama ga kontakan tiba tiba ngirim pesan,tapi pas bangun nge cek ternyata gada notif apa apa
mau genre apapun,kalo ceritanya bikin sedih aku pasti nangis. ini tadi aku nangisin zombie di all of us are dead :)	Sad
ini gamesnya,"bisa menang lawan para ""oligarki"" arang"
bahkan dalam fisik terluka dan bathin yang sakit,ia masih bisa berkata 'aku masih sayang kamu'. tapi engkau malah memilih untuk pergi. apa hendak dikata sesal tiada arti jika sudah di akhir.	Sad
banyak fans tersakiti. entah dr bws atau shipper main couple di series. posisi win sama female lead di series baru jg jadi serba salah. mereka mau deket ke bright nanti dihujat,gak deket dibilang gak ada momen dan itu jg ngebuat fans kecewa.	Sad
apapun group nya walau aku ga stan mereka,kalo ada yg keluar atau bubar rasa nya sedih bgt	Sad
sepi banget,bikin sedih	Sad
sedih njay. makin susah nakes nakes puskesmas,vaksin booster sampe turun ke rumah rumah bawa tni-polri
kemarin dia follow akun gue pake yg satunya tpi dm gue ga dibales setan,sedih	Sad
awalnya nemunya random dan cuma sekedar suka sama style dan tone warna yang dipake,sekarang tiap liat hasil karyanya berasa nano nano sedih iya tapi berasa anget kek dipeluk dipukpuk	Sad
work! hari ini last day,aku resign. sedih bgt pisah sm temen tp satu sisi bebas dari bos toxic. nekat sebenernya resign duluan blm dapet pengganti tp udh gakuat sm bos toxic	Sad
aku tidak menangis karena sedih,"ini hanya karena angin yang membuat mataku berair "" i miss u	Sad"
dan,"ada satu sikap yg buat ambisnya dia itu jd kelihatan toxic.. kalau dia kalah dari temen"" yg ranking 10 besar lainnya"
baik bgtt ni orang,tapi suka sedih kalo orang orang lebih mentingin pcnya sih	Sad
hari ini aku libur,dan fict maitake sepi. punya masalah apa sih duniaa arghhh	Sad
temenan 5 tahun hasilnya gini,sedih banget	Sad
mesti itu mirip sama wajib ya? ya engga juga sih kalo dibilang mesti. kalo emang mesti mereka yang maaf (gabisa punya keturunan) gimana? senua tergantung niat awal menikah. niatin aja buat ibadah,kalo diniatin nya mau punya anak
unexpected ending,"sedih banget pas adegan kena tembak didepan ceweknya lagi --""	Sad"
aku biarkan hujan mengurai rindu,agar tak pekat salahku
kagaa kyknya,sedih banget	Sad
jalani isoman karena covid-19,enno lerian sedih tak bisa peluk anak	Sad
sedih,melas
yaa nangis gue. takut banget. sepi banget. kayak,yaudah emang cuma ada lo dan diri lo aja. mau ngarepin siape.	Sad
donut sepi bgt udh 2minggu ini tp keganti sama proyekan suami yg ada trs,gk motor ya mobil..semoga selalu dicukupinn dan hati ini trs bersyukur kecil ataupun gede	Sad
berani kok,kalo gw lg stress+banyak masalah mesti rewatch
lagi sedih,meong ku meninggal :(	Sad
kukira kau rumah,judulnya aja sudah sedih banget woilaahh.	Sad
untuk comeback kemaren dan adanya hiatus. hiatus untuk mempersiapkan hati lockey biar tidak luka,iya tidak ada luka tapi sakitnya tetap ada. thanks buat member yang lain telah melewati ini
ya gimana ya gw sebenernya suka ngerasa bersalah kalo dia galau,sedih
udah ikhlas kok,tapi masih sedih aja kalau di inget inget lagi	Sad
belum sih,mau zoom dulu ((sedih karena sabtu nggak libur))	Sad
yg bikin makin sedih tu denise msh ngetik for my lockeys and member,w udh berenti nangis malah makin nangis	Sad
stelah kemaren ditinggal snowdrop,trus minggu sekarang ditinggal bulgasal
emotionally unstable dengerin dmnya fromis9 aja bisa nanges sampe jam 2 pagi,padahal bukan lagu sedih	Sad
semalam hbs nonton dew. dew ini remake bungee jumping of their own korea. aku udah nonton yg ver korea dan memutuskan nonton yg versi thai krn katanya lebih sedih dan jg krn yg main ohm pawat. dan beneran emang sedih sih,aku lebih suka yg versi thai dri pd yg versi koreanya.	Sad
sedih lihat timeline orang ini,kayak bukan orang sumbar.	Sad
kebawa mimpinya aku sedih sm cewenya,aku pen liat dia bahagia	Sad
seru,plot twist banget ceritanya trs ada semua di situ romance nya
dear you,kalo km baca ini. i just wanna u know. maaf harus berhadapan sama aku yang mentalnya ga stabil. gabisa kontrol perasaan
di tempatku gerimis,kalau di pipimu tangis.	Sad
ga pernah mimpi ttg treasure,sedih banget. harus gimana biar mimpi ttg trejo?	Sad
dgrin child smbl inget dl nntonin mrka jmn rookies agk sedih gt,dh pd gede smua gaada yg kepala 1 lg pdhl dl ga trlalu suka mrk krn liatnya kek msh bocah gt pdhl jg gedean mrka:v	Sad
cintai bahagia karena dia membuatmu ceria,tapi cintai juga sedih karena dia membuatmu dewasa	Sad
berbisik mengingatkan. tentang sepotong kecewa yang tak kunjung usai. di balut dengan luka yang tak kunjung di obati. luka,luka
tapi sedih sama captionnya,love my tannie	Sad
mirip kucingku,semalam dia ketabrak motor trus mati
aku bisa tersenyum walaupun didalam hati ini,masih tersimpan rasa kecewa	Sad
sekuat-kuatnya orang yg selalu riang,tertawa dan bahagia setiap harinya
awalnya saling sapa,ujungnya saling suka. awalnya saling mesra
gak bisa dah,dari semalem dah sedih bgt e
dan akhirnya kita berdamai. sadar tidak bisa bersama dan tidak bisa mengulang kejadian yang sama pada waktu itu. sedih si sebenarnya,tapi kalo ga gitu nanti guanya yg ancur lagi heheh	Sad
terkadang aku bisa marah,bingung
mimpi ku malem ini sedih tapi gaje. sedih karna bestie aku meninggal,gaje karna guru mtk aku jadi tni au sekaligus dosen	Sad
kalau lingkungannya ga sehat pindah rumah oke bgt,tpi kadang sedih buat ninggalin rumah lama
semalem dah keburu tidur,pagi² nangis bgt kagett
"gue ngga sakit atau sedih gara"" foto itu sih",gue percaya sama bw siapa pun kapal mereka di series mereka bakalan always together
agak sedih tp gaoaoa,semoga tahun depan bisa ngehype birthday jisung lagii	Sad
rindumu sajak sentuhan. kalimatku pernah pucat pula. sama halnya dengan keriput lengan ibunda; mengelus hangat,sepi kulitku.	Sad
smnga cpt selesai yah,
ya allah farr turut berduka hhuhupdhl tiap lo ngepost selalu mbatin ni kcg fara lucuk bgtknp skrg udah pergigapapaa faar,meng nya udah tenang disanaa.. jangan sedih2 yaa
buat kamu fans emyu tetap sedih dan jangan semangat ya,aing sering kok ngalamin kek gini di football manager wkwk	Sad
yahh,sumpah sedih banget lohh
aku meriang jadi ga nonton juga,sedih:(	Sad
pagi bang jon bukan nie? kangen ama ocehan bang jon,
demi allah.. yang kena siapa,yang nangis siapa.. gua jadi peran badguy banget klo begini pdhl gua yg dibikin sedih	Sad
pagi ini terbangun dengan perasaan campur aduk,ya emosi
ini denise ya? sedih vine ent. ngelepas anak se-multitalenta ini,tapi ya gimana lagi sepertinya ini jalan terbaiknya..	Sad
page 36/365 seharusnya jujur dari awal si kalo emang sebenernya gak pernah tulus,jangan terpaut karna kasihan datangnya. yang ikhlas ya jangan buat orang yang mengharapkan mu kecewa	Sad
temen gue yang lockey udah bilang gini sebelumnya,kalau sampai cb group dia ga ikut
astungkaraa,oh grgr ini sedih	Sad
gue uda bersahabat lama sama sepi sebelum lo ada,tapi sekarang sunyi yang atas apa apa tanpa lo gue belum mengakrabinya lagi.	Sad
sedih tengok orang argue pasal islamic financing menindas. dia sama ja,ada la beberapa manfaat untuk orang islam. tapi basically sama ja
sejak membaca kalimatku ter-share,sungguh perasaan takut yang menghantui di saat keluar malam hari lewati jalanan sepi sunyi dapat memudar. saya membawa ponselku
huhu iya sedih,agak ga rela	Sad
1 kata aj sih,'kecewa'	Sad
ya allah ya balik atuh,sepi gada kakak	Sad
ayoo,yang lain juga boleh new acc ni masi sepi :(	Sad
kemarin malam,istri sopirku yg terserang stroke itu meninggal dunia.. innalillahi wa innailayhi rojiun. allahummaghfirlahaa warhamhaa wa™aafihaa wa™fu™anhaa
ikutan sedih bacanya,keputusan berat tapi aku yakin denise pasti udah pertimbangan hal ini. yang terbaik untuk denise
lockey tetap semangat yaa gua baru buka twitter udh dibikin sedih,karna gua yakin sekarang lockey gak baik aja please jangan terpengaruh dengan hal negatif yg bikin kalian jadi semakin sedih
seneng akhirnya jenjang karir yg dimau abangku udah kecapai,tapi sedih juga harus jauh jauhan lagi. nanti kalo nelfon pasti sombong deh
sedih bgt denger kabar denise,biasku di sc dia. suaranya cakep bgt ampun:(( tpi gpp apapun yang terbaik buat dia
morning bang,disini lagi sedih bang liat anakku nangis terus karena kucing kesayanganya ketabrak mobil..	Sad
pengen dirumaah aja ka,lagi sedih kucing aku barusan banget meninggal	Sad
aku sudah dewasa,aku sudah kecewa	Sad
sibuk banget sama kuliah,apalagi udah praktikum offline
"orang kalo terlalu sering kecewa ngebatin nya pasti udah di level ""ya gimana ya","mau gimana lagi"" ampe pasrah gitu	Sad"
angin malam terus menyapa,mencengkam rasa sepi ini tersenyum diri ini dibuatnya teringat manik indah dirinya saat menatap dengan senyum.	Sad
temen gue lockeys,baca ini ikutan sedih bgt :(	Sad
read this before dengar lagu mark,so bila dengar tadi teringat tweet ni. sedih do senanya lagu ni	Sad
jangan lupa join pin ku yaa masih sepi huhu thank u,semoga cepet bigwin yaa	Sad
ih sedih bayanginnya,gimanapun suatu hari semuanya pasti mencapai akhir kan ya :(	Sad
enggak kok,emang sedih kalo bener ener ngerasain diposisi pram or niskalanya	Sad
ya allah,ampe ngga ekskul grgr ngga dibangunin.. sedih	Sad
kasihan dan ikut sedih. cari aman tanpa foto,tanpa upload dan lainnya. kalo ga jangan di dunia homo.	Sad
tersesat dalam tangis menginginkan kehadiranmu,tapi kau tak kunjung hadir bahkan hanya untuk sekedar mengabari. sadar dan damai dalam jalan yang lurus
di udahin segitu aja sepi ya,kalo dilanjutin bingung juga	Sad
udah tau bikin sedih,masih aja dibaca terus	Sad
ya siapa yang ga sedih anjerr,mo ngomongnya juga gimana. nanti perasaan orang yang tersinggung	Sad
sedih dari segitu banyak yang lihat tweet ku gak ada yang mau bantu,hanya beberapa orang yang sudah bantu aku bisa dihitung. terima kasih semoga allah ganti lebih banyak	Sad
i ain't lockey but i feel bad for that. buat para lockey jangan sedih terus yaa! i wish all the best for denise,secret number
ya kan,sedih amat	Sad
butuh waktu yang lama untuk kembali percaya,dan berdamai dengan rasa kecewa.	Sad
gue tim raydu,tapi liat ini sedih bgt fak	Sad
gw nggak tau kenapa bisa ikut bahagia ketika kamu sedang bahagia,dibilang kontak batin takutnya gw salah.. gw udah terlalu sering menganggap semuanya pure dari kontak batin
fess ini es krim enak bangett tpi kok skrg susah ya carinya,sender sedih ni	Sad
gue sering ada di posisi sedih jadi waanjai. satu sisi,mewgulf itu sumber kebahagiaan buat gue
habis liat berita denise,sedih amat dah. padahal vocalnya paling bagus di sn	Sad
wml rules done. akunku ika_ruyanah semogaa jaehwan sama baejin sembuh,sedih liatnyaa	Sad
naeun menyukai lagu sedih,dan setiap ia mendengarkan lagu
yah kecewa,harusnya out bareng cr7 kmaren. hadeh	Sad
paket aku ko belum dikirim juga ya padahal udah dari dua hari lalu mesennya,meni sedih ih asa lilaa:(	Sad
tapi pas liat liriknya gw jadi merasa apakah ini yg dirasakan mark sesungguhnya,gw sedih dan merasa jahat
kenapa ya kalo tengah malam tu suka sedih sendiri berlarut-larut trus semuanya kaya berkelebat di kepala mulai masa lalu,masa sekarang
sendiri dan sepi,aku ingin berlari menelusuri mimpi yang tak kunjung menepi	Sad
ah denise nyanyi yeposo gue jadi double sedih. sedih karena denise,sedih karena jae. hdh	Sad
kak laraa cepet sembuh yallah sedih bgt,istirahat banyak-banyak	Sad
pantes yh waktu hari kamis wajah ell tuh kek lemas trs matanya berkaca kaca w kira lagi sedih,tp w kalau sakit suka gitu juga sih
pengen nonton ku kira kau rumah tapi nanti aku sedih masa sendirian anjir,ini kawan di ajak ga ada yang mau lagi	Sad
ketika senang ia datang lagi. ketika sedih ia tak pernah pergi. perkenalkan,dia ibuku..bidadariku. :')	Sad
:( sedih banget plss¦ get well soon,dayeon!	Sad
ape la mama ni. sory sayang. mama tak jaga dhyan dengan betul. mama leka. sory sayang. cepat sembuh lah dhyan. walaupun awak demam pn macam tak demam. tapi bila malam nampak awak mcm tu,sedih mama.	Sad
ada yg salah besar di klub kalo tiap musim tidak mampu jadi penantang gelar di tiap kompetisi. kecewa stlh kecewa krn klub ini skrg klub pnh drama,bkn soal prestasi lagi. musim ini
gak ngerti harus ngapain,sedih aja gitu.	Sad
kenapa maknae suka kek gini sih?! kek semua hyungnya sedih mewek,kebanyakan maknae tetep . padahal asilnya kan juga sedih
hanya dirimu yang bisa membuatku tenang,tanpa dirimu aku merasa hilang dan sepi
foundation nya shiseido yg syncroskin,mau aku kasi buat hadiah ultahnya ibu itu katanya bagus
sedih njirr,pagi pagi dapet kabar gini thanks denise sudah menjadi bagian dari secret number dan lockeys dimana pun kamu akan selalu menjadi fans dihati lockeys	Sad
tulisan yg luar biasa,anak sy cewe msh 6 bulan. ga bayangin besok udh usia 18 udh bisa ngurusin dirinya sendiri seperti mbak anin. pasti rasanya sedih dan bangga bercampur aduk ya	Sad
paling sedih,waktu ortu udah kehilangan masa jaya wkwkw. dulu bisa kali tiap hari order makanann entah mcd/phd/kfc dll
ngga nder,kyk nya gara2 quarantine deh. soalnya dulu aku klo maju santai bgt
huhu emang pendek bngt ya,
:( sedih,knp bub aku	Sad
barusan nonton ini,sedih ngeliat il-rak jadinya dia beneran anaknya si ha so itu? atau salah sangka doang?	Sad
mau sedih,tapi..	Sad
langit menjatuhkan bulir-bulir yang sedih,yang sedikit
kok gw sedih ya? gw nyesel,knp gw ngga kenal bw nya pas dulu² aja sih
bimbim lagi sedih,bongan	Sad
gila.. lockey kalian stay strong ya ga kebayang klo ada member yg keluar kalo ada berita member kluar,entah dari grup manapun
sedih td malem mimpinya jeleek kali sampe aku kebangun tengah malem nangiss deress,trs aku tahajud baca doa blabla
gw yg udah nonton kim sabu berulang kali apa kabar? yg ada nonton di net bikin gak nyaman,yg harusnya gw udah terbiasa nonton adegan di meja operasi malah diginiin sumpah kecewa. dr romantic tayang di net beda rasa
barusan liat trend denise katanya keluar dari sn,ya ampun sedih banget baru bangun baca ginian	Sad
sch! sedih banget mingdep ptm 50% huhu,mnaa aku skola tuu gapunya temen dekett gituu
food is more than it™s fat calorie counts duuh sedih banget tiap bawa pulang cake/pastry yg riset,cari bahan
denisee huhu pagi pagi sedih,liat polaroidnya jd kangen jaman who dis sama got that boom	Sad
sedih,tangan ayang buntung	Sad
kalo anggaran tiap bulan ya bangkrut,ya kalo lagi butuh aja dong..masa teroris pake musim kadang muncul nanti sepi nanti muncul lagi
krna kecantikan luar biazaahh maka kmu jd foto model,"di foto ini konsepnya mikirin ""kenapa ya mas crush malah jadian sama temenku"" jd sedih bgt	Sad"
kecewa,broken
dulu di medsos saya baca,banyak yg komen psi itu dipelesetkan dng kepanjangan partai sampah indonesia.dan saya sangat sedih mendengarnya.tapi sekarang saya baru mulai mempercayai akan hal itu..terlebih sekarang setelah mengetahui kwalitas pimpinannya spt ini	Sad
sedih sumpah yang bikin gue bertahan nge stan secret number selama ini cuma denise,sebenernya dari awal 2 member baru masuk udah punya firasat kalo denise keluar sih
happy birthday tapi sedih season ni maybe tiada hadiah silverware with club epl sudah sah jauh ketinggalan. ucl je lah tinggal,itupun kalau mampu.	Sad
saya sempat punya hari di mana pada hari itu saya sedih karena kecewa. kemudian hari ini saya bahagia,kutertawakan hari itu.	Sad
gajian aja belum,"udah ada yang ngomong ""nanti kalau gajian pinjem uang yah"""
dear! hi aku umur 19 punya sepupu cewe umur 22 nahh dia mau nikah trus dikira mua nya aku yg mau nikah,si sodaraku ini bilang intinya mukanya borosan aku
sorry to sayy,kbe harus takedown jujur sedih bgt tp mau gmn lg teh rasanya tuh aduh sekalian jg nanti ak mw debutin kisah baru mungkin ini kbe mau reborn tp ceritanya berubah 360° lah pokoknya jd lebih ringan alurnya aduh sorry bgt dan tungguin cerita selanjutnya yaa	Sad
tadi waktu mau berangkat ke sekolah,kan harus salim dulu kan sama ortu? trs tadi mau salim ke ayah
masih inget pas sn di vlive,soodam prnh kelepasan sebut soal denise dita mengiyakan. lalu suasana jadi hening dan seketika ganti topik. aku yakin kakak2nya di sn pasti sedih dg kepergian denise. mungkin di balik layar mereka tetap berhubungan baik meski sudah tdk bersama lagi	Sad
kadang gue sedih kenapa jd orang yg kalau ada apa2 diampet dewe,kan jd mumet dewe	Sad
"halo siang min kok ga bisa pesen tiket ""ku kira kau rumah"" di gojek dengan alasan kota saya tidak ada di situ ya",kecewa bgtt :(	Sad
sedih,
ore sedih,ore mau punya chingu la	Sad
