text,label
tbl tbl takut banget loh yang sering tiktokan pasti pernah dengar frasa yang diciptakan ini. sejak viral,tbl digunakan oleh perusahaan besar untuk promosi. penciptanya pun kecewa karena tidak minta izin emangnya frasa bisa dilindungi? [a thread]	Fear
takut banget dimana mana iklan cincin lamaran,cetak undangan
gue dulu takut trus kata temen gue tinggal plek ntar dia cuman nempel ke pupil kok. kecuali tangan lo gatel pengen kucek2 mata ya jangaan. nyopotinnya ga perih samsek,kaya lg nyubit gitu caranya	Fear
bener lily. malu banget dah.. minim literasi. kirain tuh paling muda,ternyata muda dari kakak. terus kirain tuh ada n-nya
jeje galak banget,gua takut	Fear
cayy jangan lupaa makan siang yaa,jangan malu-malu untuk jbjb!	Fear
kemarin ngeluh,kalau masih ada alm. bapak
tau kan rasanya,mau lanjut gabisa melek takut nabrak	Fear
alhamdulillah aku di jauhkan dari cowok itu,tapi rasa takut dan traumanya masih membekas sampai sekarang sulit di hilangkan.. ketambahan lagi
selalu merasa gaenakan padahal sebenarnya udh gakuat.. merasa takut kalau orang lain tu engga puas dengan hasil kerja kita,
pengen cuddle,tapi malu aku karna takut klo tidur ngorok	Fear
takut,ku demam sm batuk	Fear
jumlahnya yg takut banyak bener,udah kayak nanganin teror aja.	Fear
bajunya yang ini,ditengah lagu minjem gitar dari gitarisnya terus dia yang main.. takut banget	Fear
aku infp dan di aku relate. kalau ada hal yg ga terorganisir tuh emang panik sendiri,pikiran jadi ga tenang :')	Fear
ngeri x pon,aji mumpung.	Fear
umm,aku gapapa. aku takut oversharing .. tapi makasih udah nawarin	Fear
contact kita bisa dinamain siapa aja,ngeri juga	Fear
gue lagi nangisin cowo fiksi,"tiba-tiba abang gue dateng ""dah sholat belum lu?"" gue antara takut di marahin karna belum sholat dan malu karna nangis buat mata gue sembab	Fear"
anjir anjir anjir sumpah ma,pak
anjay ini 2p kegedean ternyata gampang lepas pula,takut kececer jadinya	Fear
malu bgt sendirian,kesannya kek semua orang ngeliatin sambil kasihan gitu aku kesini sendiri. plis lah rangorang kalian selain jaga jarak juga jaga pandangan dan omongan ya
( kaget saat punggungnya dipukul. dia sendiri juga baru sadar langsung sebut nama. ) ..kayaknya berani deh,jun. nggak tahu
sumpah ya gue sampe takut tiap papasan sama ayam,pasti ngelambat. soalnya doi tuh bukannya minggir yang lebih deket tapi malah nyebrang	Fear
di ig cuma sesekali doang bikin story,itu pun random isinya
kalo saya ceritain semua ini ke kamu,saya takut kamu tinggalin lagi. saya gasuka sendiri	Fear
michi naksir doi temennya,takut ada keributan	Fear
eh ada lagi deng hehe,bikin kaget aja	Fear
jgn apa2 kebanyakan diumbar2 melulu,kalo gajadi malu gile .	Fear
iya swndirian banget,soalnya ada beberapa anak yang positif kopit jumat kemarin. asli panik dan takut	Fear
pengem nonton kukira kau rumahh tp takut kena mental,
hanya karena pernah terluka,tak berati kamu harus takut mencinta. ada seseorang yg tepat untukmu di luar sana.	Fear
anehnya lagi ada anggota,kaget kok bengkak anggaranya	Fear
sebagai penderita agoraphobia,anna gabisa keluar rumah guys
shade cushion make over lebih cocok yang mana ya? kalo warm ivory keterangan ga? aku baru pertama kali mau beli bingung milih shade,takut salah	Fear
takut,pc gue tetep di kolbuk	Fear
takut gue,mau hidup tenang	Fear
heh salah upload,malu	Fear
kiri,kalo kanan soalnya banyak bergerak takut kepentok	Fear
tar paket gue yang rembes hujan kemarin dateng,dan gue diminta unboxing depan kurir trus bakal di videoin. kan gue malu yak	Fear
cuman aku malu aja buat ngepublish ke orang lain,karena dia juga gk pernah publish aku	Fear
lagi pusing,tapi kalo dapet dana kaget 100$ ilang ni pusingnya	Fear
kan,
bisa dicipratin air kak,bagian belakang badannya aja jg gapapa
buat pelajaran besok2,takut annoying ato gimana haha	Fear
prnh ga sih lo lagi iseng nyanyi nih di dpn pasangan tp ga asal nyanyi gtu,bnran nyanyi. trs pasangan lo terkesima
anginnya kenceng bgt,takut :(	Fear
kalo udah 9 bulan ginituh rasanya deg degan,takut
tiba2 mimisan,gaktau kenapa penyebabnya dahal baik2 aja. kaget juga
bila takde kerja sangat ni yg aku takut ni,takut tktau nak update apa dsu esok	Fear
temen gue ada yang positif takut bgt soalnya kamis sama sabtu kemaren abis ketemu,akhirnya gue ini mau swab house service. doakan y geengg	Fear
oknum yang ga ngerasain malu td pas presentasi,pls td kalo lu join zoom rasanya mau pindah planet..	Fear
jangan lupa ngingetin ayang buat napas,takut lupa malah repot	Fear
di urut dulu ke tukang urut,takut salah urat	Fear
ada kelass lagi nanti jam 1.30,nanti klo tidur
liat kok cuman takut pada ikut close juga,nanti gw sendirian:(	Fear
astagfirullah kaget gw,smpe bingung juga dpat notif bgni sejak kpan gw punya gebetan jgankan gebetan org suka aja gk ada	Fear
aku kalo lg di samping bapak2 selalu tremor,takut
tadi disekolah ada swab buat 2 kelas+beberapa guru,terus katanya guruku semua bakal kena swab dadakan. aku sekarang lagi kurang fit jadi takut..	Fear
alhamdulillah-nya udah divaksin sih. itu juga setelah drama. ibu mertua gwa tinggal sendirian. beberapa bulan lalu bapak mertua baru wafat. jadi yaa,khawatir. lalu ya gituu
gw ragu mw bls make kata2 apa pake foto juga,dan akhirnya keluar dh	Fear
belom pernah nyampe manggarai lagi kalo naik kereta,kaget udah jadi di atas peronnya wkk	Fear
chaki,ni buatmu. aku bete banget dah kemarinan waktu kamu ngebet mau jodohin aku sama kak heeseung kaget puool taunya pernah jadi temen satu oa-ku. kelakuanmu beda maksimal (real)	Fear
sekarang kalau upf fee di awal aja kali ya,ngeri bgt hnr	Fear
dikasih tau adik,"simbah nanyain ""ini bajunya gak pernah lihat dipake keluar"
kalo gak gandengan tangan meriang tiap hangout di public place aja lengket ngt,gimana kalo pas lagi qtime berdua di private place gitu duh
lo takut ga sih anjir selasa depan anjir,treasure beneran cb ya?!?!	Fear
mau ngejar,takut lari. jadi mending ga usah ngapa-ngapain	Fear
udahh,tapi takut kalau dia ngecek2 pakai akun lain. dulu aku priv
beh,mangkug tut bah malu nae	Fear
sch! gais tgl 8-15 masih bisa unggah foto kann,td pagi aku unggah foto tapi pas lagi loading malah error
gua naik angkot isinya cowo semua anjirr,malu bet	Fear
i decided to buy pc from kseller je nanti,i takut i tak dapat pull my fav member sebab tangan tak wangi	Fear
kalo nyolong,malu mah kedengeran ama yang punya	Fear
banyak juga boleh kak,asal jgn kelepasan
jujur sih kadang aku itu malu dan takut ngakuin kalau dia pacarku,iya bener karena fisiknya	Fear
iya ya kalo dipikir gitu.. tadi udah aku takedown tadi bilangnya badge ijo itu squad leader,kayak hyotion sambil ngasih nunjuk foto takut jelek dimata fans mereka yaudah tadi langsung aku takedown	Fear
indahnya terbang terlalu tinggi,walau jujur ku takut jatuh terlalu jauh	Fear
coraline dulu pas kecil takut banget jir,mana nyebutnya dulu kartun mata kancing :(	Fear
takut banget kena polusi,mau isoman dulu	Fear
minta tolong unit barunya lgsg dipasangin semuanya sm dicek flashnya bisa atau engga udh worry aja dari awal beli takut ada apa2 makanya smpe gosend instant taunya bener aja kena apes,untung sellernya baik mau ganti unit baru	Fear
gak papa sebenernya,masih bagus hasil fotonya gak ngaruh tapi gw takut tambah parah aja	Fear
makin dekat 10 februari,rasa campur aduk makin menjadi2.. ada bahagia karna anakku sudah mau 19
serem krn ttg sikopet gt nder,aku nonton itu lbh eneg sm takut gegara mainnya bunuh2an
rada kaget ngeliat hasil semester kemarin,tapi ya mari tingkatin lagi di semester sekarang	Fear
malu malu,takut salah langkah	Fear
mau meluk takut dosa,gak meluk mubadzir astaghfirullah bestie	Fear
takut tapi enak takut tapi dilanjutin,idung belang	Fear
sumpah wak malu bgt. niat utk praktek efek deterjen ke ikan,lah ikan nya malah loncat dari wadahnya. gw refleks kaget dong
india lumayan ngeri,kalo korea agak bahaya meskipun 4 thn ini ms mereka dibawah kita
tapi lanjut dimakan gak? takut banget kalo lanjut makan,takutnya ada pecahan beling kecil masuk ke perut	Fear
kak sumpah klo upgrade dri hdd ke ssd tu gabakal ngehank gini gak si? tabunganku cuma cukup buat upgrade itu,tapi takut juga ada kebutuhan praktikum mendadak. jadinya aku maju mundur mau upgrade	Fear
panik nya tuh di pikiran sih,sibuk mikirin ini mikirin itu
tadi baru gibah si crush gw kan nah tu tiba'orangnya muncul gw sengol lah kaki temen gw biar diem,kalau tau kan bisa malu	Fear
ga paham juga,padahal buat global. ngeri editornya	Fear
gue takut di dpt guru,wml biar ga ketauan bk	Fear
yang kupikirkan saat ini : ini org org yg punya kontak wa banyak ga pusing apa ya nyortir siapa aja yg bisa liat sw. gw cuma sekian aja,males nyortir dan jatohnya jadi males buat sw aja sklian. khawatir hal hal tidak diinginkan terjadi	Fear
sebenernya lagi gelisah dikit soalnya tadi sekolahku banyak yang positif.. tapi overall baik-baik aja kook,hbu?	Fear
[] takut ga bisa memerankan bapak min yoongi dengan baique,"karena yoongi tu kek diem diem gt kan nah gue rada petakilan. sama takut kalo disuruh show off ke ""savage"" an nya tuh gue ga nyampe gitu.	Fear"
mau siapapun lawan ina w tetep takut,tembus semifinal pun juga lawan dari grup b serem semua	Fear
ya iya lah,masak nggak takut kalau bobroknya dibongkar di pengadilan?	Fear
kalo ampe kejadian,gue bikin lu malu seumur idup si liatin ae	Fear
gue kalo pms sakit bel tp gamau minum obat takut ketergantungan:(,uda nyoba dikompres pake air anget gaa tadii?	Fear
ketularan kaget,pengawasan gak beres.	Fear
aku malu,aku malu	Fear
gembel style lgi,oke /jk ya allah
emang sih,aku bukan siapa-siapa kamu. tapi aku nggak bohong kalau aku khawatir dengan keadaan kamu sekarang. bolehkah kalau aku yang menghubungi kamu duluan?.. tapi aku takut bikin kamu risih..	Fear
tafsir ya... antara kaget dan ngga kaget tapi tetep aja,ngeri boi	Fear
hahaha.. emang lagi ngeri sih,tapi dulu pas curug hejo sepi. sekarang ngeri di cuaca sih
hi kak,mohon maaf terkait kendalanya. terkait kendala tersebut
di kost bosen bgt,tapi mau main keluar takut deh kasus covid lagi naik. mana mau ada event
yakan demen muji tapi dipuji balik malah malu,demen natap mata member giliran ditatap balik juga malu sendiri
"kamu minum kopi 2 gelas, itu ngga sehat tau. kasian perut kamu mata gue mlotot kaget dong",apaan dah nih sksd?! pas gue noleh
merajuk la jugak mak aku tu,haha. pastu dh ambik booster apa semua tu; aku tnya mak aku. ada sakit tak? ada nak demam tak? pastu mak aku ckp. tak. hahqhah pastu aku jawab balik kat dia
panik bnggett,mana gue pemalu lagi adhh	Fear
kaget,kirain ada yang baru lagi	Fear
""" aku juga mau aware ttg isu kesehatan mental",disini aku mau negasin karakter hana yg sebenernya dia bukan denial/gengsi/ ga punya hati
beuuhh,rambo semua modelnya nihh.. pantess dianggap saudaraa..(ngeri kalii maksudnya)..	Fear
panik tetiba mata bengkak sebelah,ternyata aku alergi ibuprofen	Fear
kata gw mimpi paling buruk tuh mimpi jadi pembunuh sumpah. gw sepanjang mimpi kaya stress sndiri ini gw kudu nyembunyiin mayatnya dmn trus gw kudu buat script apaa. sedih,takut
kaget lg ke toilet udh banjir,ternyata d-1 langsung cek flow dan wow ternyata benarr akurat jg flow yakk selama ini gue pikir gue haid selalu mundur atau kecepetan seminggu	Fear
bismillah deh,gue masih takut soalnya kalo main warna pastel	Fear
bangun jam 12.25 sesuai alarm,pas bangun panik bgt
iya,takut ke	Fear
klo dh offer tuh dh takut,mending kasih harga pas ny	Fear
waktunya kurang tepat kalo mau ke indo apalagi disini masih meningkat tuh cvd,aku takut dia knp knp
kaget loh,kenapa rame banget twtnya.. kirain ada apaan anjir	Fear
aku gak kepikiran sampe kesitu ka,soalnya aku buru-buru karna itu wl aku takut keduluan orang	Fear
ngeri lo,"dtg dtg twt ginian :"")	Fear"
hujannya awet ihh,takut banjir	Fear
teman-teman aku mau kasih info,aku bawa pulang lagi kucing aku karna dokternya lagi ga ada di petshopnya. aku takut kucing aku stress jd aku bawa pulang dulu
aku bukannya over atau lebay,aku cemburu
gue udh kaget jongu knp,rupany bnrn dikoms. udh panik	Fear
nanti dll,takut org bayar utang mamakku	Fear
soale takut ada yg macem macem,kalo bawa temen kan seenggaknya ada yg bisa bantuin.	Fear
warga sudah jadi korban,mas. dengan teror dan intimidasi terus menerus
kaget plus deg-degan pas ada pelanggan cewek yang negur saya pas lagi nongkrong di cafe. kayaknya si anak kedokteran ya,bening sama cantik bat
braw! ngeri bgt tiap hari ambulance lewat terus,stay safe guys kurangin nongkinyaa	Fear
gue fikir baba ga ikut. malu bgt asw gadeng,malu aja haha :')	Fear
eh sumpah gw panik,udh upload foto ltmpt tp lupa udh gw save blm tp udh di unggah sm udh di crop	Fear
bused sampai dua kali kirim. kata saya mah,mending sender muncul deh. dm saya coba
mau kaya gini pas ultah mendatang,tapi takut malah dijadiin bahan bullyan..	Fear
cape gasi anjrit tiap hari di teror proposal mulu,tertekannn	Fear
orang2 sudah pinter .. takut dosa,klo gak adil.. srkarang banyak yg pinter..tapu tidak ngerti
denger kata,foto-in satu-satu mukanya. dan yang bilang jendral bintang 4
ml! cara ulti flicker ruby tu gimana ya? aku ulti malah flicker ke depan karna bingung pencet mana dulu hasilnya ketarik ngga,malu banget iya	Fear
pak tolong lah ringan kn beban sya jdi orang tua yg takut anak nya di vaksin,anak sya 9 tahun pak umur nya. dada nya sering sakit pak.. setelah vaksin satu! terkadang saya mau nekad aja utk bunuh diri karena terlalu tertekan mengenai vaksin ni pak. tolong sya pak!!	Fear
ini kenapa jadi rame,kaget. mana qrt ghaibnya 4..	Fear
bertahun-tahun bertahan. hubungan lu sama pacar lu aman,lancar
nonton ulang video got step back dance practice di mv-nya,taeyon elegan bgt pindah dr pinggir ke tengah. pas liat seulgi
iya kk,ni kucing oyen sy galak banget betina pada takut :((	Fear
jangan lupa ngingetin ayang buat makan dan minum,takut keselek ayangnya.	Fear
ade org kata simpan sikit,
wah iya,ngeri nih yg setim ma mas.	Fear
ih temen kosku abis ikut ke venue gt kan acara prodinyaa,eh balik ke kos dia meriang nular ke satu kosan. skrg ak jg pilek meriang buhu jd takut	Fear
ya begitu lah hidup di cluster coronces,tiap hari panik selalu ada yg positif	Fear
idih nuning kabur dari space ka ciba .,
udah resign dri tempat kerja tapi kok masih degdegan ya,takut kalo ketemu mantan bos di jalan :'(( kenapaa??	Fear
hahahaa takut,anaknya galak	Fear
kena razia rok plisket padahal yg ngerazia pake rok plisket jg (kating) takut kalah saing padahal gada niat nyaingin,cm mencontoh	Fear
orang indonesia ga ada takutnya kali cuman gw rasa mereka takut dengan agama baru yg dipaksakan percaya yaitu c19 rokok aja ada label orang sakit tulisan membunuh tetep aja dikonsumsi terus kecelakaan terbanyak adalah motor,usernya makin banyak ada bom aja deketin/kontenin	Fear
tegang banget kak,santuy aja santuy..	Fear
kalian yg udah b00ster,efeknya gimana? gue masi lama si jadwalnya
pp! boleh minta kritik dan saran? worth gak ya kalau jadi ready stock? takut malah flop gitu,tia	Fear
iya sih,tapi ciwi ciwi ini agak naik turun. jadi kita saling takut	Fear
plis jgn liat rep gue dulu malu,untung dah di apus	Fear
wordle 234 3/6 kaget sendiri,bisa-bisanya tebakan ketiga langsung keluar	Fear
ya tuhan,pengen pacaran tapi takut berujung malah manfaatin anak orang. kan karma ada.	Fear
lho kaget,baru sadar	Fear
serius,jadi kaget gue	Fear
klo aku jidat yg sering tak tempelin dikaca ketika kondisi nungguin.. walhasil kacanya berembun,
tiap wtm dan nunggu lta,satu sisi si fmc nya juga dah ganti jadi x013692 gak sabar tapi ya ngeri dan wuaduu	Fear
a trivia,im being deadass. gue ga pernah dugem wkwk takut ngebungkus laki orang.	Fear
gak katla,ga wordle
kompakan niyee,kaget
faktanya gua bahagia kenal dia,gua bahagia ketemu dia
me tp kazuha ganti yae,alias takut tp ttp percaya diri	Fear
haduh,takut viral sama komentar saya yg itu nih. yg like ama yg komen jadi banyak bgt busetdahh	Fear
aku emg tidurnya slalu malem,tp plg malem jam 2 pagi sih
diberau ada konflik lagi antara dayak sama bugis,jd khawatir keadaan ayah
tambah ngeri aja ni,
ini belum mulai dm,udah mules takut di block.	Fear
pengen ngerjain yoel,tapi takut diamuk duluan	Fear
kaga kak,gua cuma masih kaget..	Fear
hari ni pake baju pink ama celana item,takut dikatain blackpink	Fear
dimana tempat yang aman untuk perempuan? jadi makin takut korban kekerasan pada perempuan makin bnyk,orang tolol biadab bngt owasu	Fear
ketika lu punya pacar tapi tbtb ada seseorang yg lu suka. lu jadiin crush,tapi lu ga bisa apa apa karna gak mau selingkuh tapi ngerasa kalo perasaan lu gabisa diboongin. berusaha hapus perasaan tapi malah tak tertahan. mau lapor ayang takut malah dibuang.	Fear
rep aja bro,takut nanti nyesel belakangan	Fear
pen nyoba tapi takut aneh rasanya,rate 1-10 cil untuk rasanya	Fear
menurutku sih iya kayak,kalo jeleknya selesai tuh bikin marah-marah pengen bahas banyak
di sini masih enak banget sih bosnya keluargnya,ga tau gmna kalo doi beneran kerja ke tempat yg bener2 profesional. kaget sih pasti wkwk tapi bagus	Fear
rada ngeri yaa,apalagi stranger gitu	Fear
gabisa banget nyetel takut,i feel gonna cry	Fear
ahaha betuls,takut kayak yang waktu kemarin udah pede salah nah yang sekarang bener	Fear
dibonceng,bcs smpe skrg suka bego klo lampu merah kadang kelabas untung aja msh hidup. trs cape jg bwa mtr sndri + rada takut nyebrang klo ga modal nekat.	Fear
ini dari kemarin kepala pusing,badan pegel pegel
eh bukan deng wkwkw kaget bgt,anjir mana rompi osisnya mirip + belakang gedungnya mirip. pas liat badgenya bukan sekolah gw	Fear
aslinya aku orang yang jarang bgt nelfon orang tua kalo lagi jauh,tp belakangan ini pengen denger suara mereka terus
walaupun danpuspom anak buahnya emangnya lu kebal hukum,tugas puspom ga liat lu jendralnya tapi liat kasus hukumnya. bilang aja dung emang takut dikerangkeng.	Fear
wkwkw infp bener bgtt. udah gelisah gelisah panik tapi tetep kek,"""haduh sebentar lah main farmville dulu"" ""duh ngantuk yaudahlah tidur dulu""	Fear"
eh tergantung kali ya nder,di ruangan kan make ac (biasanya) terus sekelas juga dikit
iya sih kalo pake jubah tp nonton sendirian agak malu,kalo ama temen masi agak ketolong	Fear
pernah dijelasin,emg ngeri sih vi
malu banget anjirr,"tadi ada yg teriak ""misi paket"""
jends,kalian ada yg udh pernah nyoba skintific moist?? bagus gasi? ak mau beli tp masi ragu soalnya harganya lumayann	Fear
gada hantu2nya,seremnya karna psikopat yg ada disekitar yg bs ngebunuh kapan aja. saya baru nyampe eps 4 tapi
. masya allah. awalnya gue suka dengerin lagu lagu klasik gitu pas menjelang mau tidur,"tapi trus temen gue bilang ""gimana kalo lu meninggal nanti disetelinnya kpop bukan al quran"" takut gue	Fear"
ke papua takut melanggar ham kata nya dung dung,beraninya sama rakyat sipil yg tidak bersenjata banyak banyak istighfar liat nya	Fear
ngga sih,gue malu soalnya pake baju haram. ga terbiasa juga pergi2 pake baju begitu	Fear
iya bener,soalnya takut kelupaan
ngeri,nganti dimakamkan di satu liang	Fear
bused,agak ngeri notifnya	Fear
kemarin ada yg menyandingkan bung karno dengan munarman,sekarang giliran haikal ngoceh ttg bung karno. kelihatan terstruktur dan sistematis. ada nuansa adu domba (supaya pdip dan nasionalis lainnya ngamuk). ada pula nuansa mengaburkan sejarah. ngeri..	Fear
iya ya dulu ifnt banyak muncul di variety shows,lvlz lumayan meskipun lama2 mulai berkurang juga. ga ngerti deh di balik layar kek apa soalnya dunia showbiz kadang bisa ngeri banget kompetisinya.	Fear
wkwkkw malu bat anjg,bilang kangen kangen tapi gada yang peduli	Fear
oh,iya ngeri banget sampe keluar ususnya
takut bgt karna kepala pusing,"tenggorokan mulai serak dan badan anget :"" untung kemajuan teknologi di tahun 2022 ini menyelamatkan anak kost sepertiku :') terimakasih gomart	Fear"
jujur gue juga panik,bikin keinget rasa sakitnya kayak apa selama 3 minggu :(	Fear
kaget kirain akun temen ku,dn sama ava sama	Fear
jangan pernah benci sama orang,bisa aja dia jodoh kam	Fear
iya ni mau aku jemur dirumah,kalo nggak mama marah	Fear
memang,tapi banyak orang takut minta maaf bukan karena takut merasa rendah
kita semua punya rasa marah sama wowo prof,jgn dendam ya prof. kan waktu milih kita serahkan semua pada allah.. tpi klo inget trus kejadian itu bole laah prof.	Fear
sabar ya mbak,bingung mau berkata apa. kalau aku pribadi jdi mbaknya bakalan marah besar sih	Fear
tapi keinget pas lsp ngejurnal manual sampe arus kas gue lancar,komputer juga lancar
ngga si kak,tp baru sampe rumah jam 8 pagi kyinya fix ngantuk bgt gak kuat melek td kirain 10 malem gt wkwk mino km benci aku ya	Fear
koyok e dendam deh nih kocheng,grgr mau subuh tak kancing i lawang	Fear
njir gue sakit tenggorokan,gk enak badan
aku ga pake yang niacinn tp yang botol ungu gila bgt,kaget bisa langsung cerah sekali pake
berlaku buat seller juga sih. kalo sudah ada yang take,at least ngabarin ke calon buyernya biar sama-sama enak. kalo sama-sama ghosting ya gimana wkwk ngeri juga	Fear
km luarnya klo ada mbak?as kebersihannya enak jd ada yg bersihin tiap minggunya. yaa krn bareng2 jd kurang privasi aja km dalemnya privasi terjaga,kl mlm ga usah keluar kmr. kl kamarnya kecil jd lembab
cerah aja apa buat hari ini,aku mau ke jtp. ga lucu kalo ujan
kalo sosis rebus enak,tp nugget?? aneh gk sih???	Fear
mjb,itu janji jiwa nya biar udah dua hari masih enak rasanya? gk basi?	Fear
ada yang bisa hack ig ga? tolongin banget,hati gua udah ga enak dari seminggu yang lalu	Fear
kenapa ya perasaan ku gak enak,mau pergi padahal nanti	Fear
duren kalo langsung ngga enak,kalo olahan baru enak
sebenarnya bagus,cuma karna sellernya galak jadi pada ngeri	Fear
takut banget,serius. enih mereka tempat gw curhat
aku di sini cengeng,suka misuh
aku gak pernah minta nebeng kecuali emang ditawarin,"karena ya ini dan gak enakan juga soalnya waktu itu ada temen yang cerita dia sebel banget minta ditebengin mulu mentang"" searah. jadi suka kepikiran kalau nebeng dia keberatan apa enggak	Fear"
yang biasanya pendiem banget,kalo tiba-tiba oversharing itu kadang suka ngga kekontrol
masih kepikiran ji ung kenapa rela suka sama yeon su lama banget yak padahal dah dari jaman kapan tau emang yeon su cuma buat choi ung sepaket,pemeran utama. ga akan yg tiba2 moveon ngga si org kayak yeon su. eman waktunya mas	Fear
nah iyaa,"kaget banget terus mikir ""kok bisa dia suka sama gue""	Fear"
bukan nggak suka sama seriesnya,iya aktingnya bagus
"""karena ditempat kaos kaki suka banget amburadul ga di gulung habis dicuci",jadi pagi pagi buru buru kadang ga mikir. pas sampe kelas baru sadar :d tapi trobos aja sih ampe panikan	Fear
dulu aku gini,sampek sd kayanya. ga suka sama rumput2
ga berani ngucapin happy birthday ke cowo yg gue suka anj. kalo gue pikir pikir sekarang,kek dulu gue bego banget anj. padahal itu kesempatan emass	Fear
zoo anabul kecil tetangga aku gamau diem,kadang suka tbtb masuk kerumah. kadang suka pup diteras rumah jg
aquarius gak pinter bohong,to the point banget dan kadang karena to the pointnya dia itu suka bikin sakit hati jadi takut ketemuan	Fear
kalau yang nggak terlalu pait,masih sukaa. tapi kalau yang pait banget nggak suka wkwk takut ama rasa pait soalnya	Fear
degdegan banget hari ini ya ampun.. semoga lancar,
minderan anjir klo suka sm org. abis gmn ya gua selalu aja suka sm santri,dgn fisik yg tdk memadai serta akhlakless gini jd lebih nyaman mencintai dlm diam wkwk. udh gt doi pernah liat gua nyedot tijus make selang
sering,dan sampe hari ini pun masih suka kaya gitu. gak tau suka takut aja gitu
langsung aku unfoll loh,ternyata alasan orang2 pada ga suka sama dia sekarang jelas banget orgnya bikin ngerian	Fear
aaakk sama banget kaya temen sma aku,dia teriak2 di sekolah minta cutter buat bundir astagah. legend banget si. dan masalahnya ya dia putus sama cowonya trs cowonya suka sama cewe lain
haha,bener : dit
