text,label
kata mama harus baik samaa orang lain tpi kalo orang itu ngelunjak yaudah diemin aja tapi gue orangnya ga tega an.. jdi ya gtu,jatohnya malah tolol ngebantuin orng yg ga bisa usaha sendiri	Anger
bahkan ada dari tweet yang maksudnya supportive. parahnya tuh nggak dibarengi dengan nanya baik-baik atau diskusi,tapi langsung ngegas. bener-bener jadi ruang marah-marah aja	Anger
iya ituu benci bgt,makin hari ada aja peraturan ga jelas kek gini huhu	Anger
mak yng darah tinggi andin makk,knp mamak yng marah marah
tolol,namanya adek ga harus anak kecil. adek ya
diorang ni semua dah lama nak borak dengan kau. tak fun kata diorang,kalau tak dengar kau buat lawak bodoh satu hari.  tu dulu la jepp. haha.  kitorang dengar kau tengah on satu projek. big project. semua bercakap pasal kau jo.  takde la. benda takde pape lagi. 	Anger
yhh marah  mulu lo,cepet tua mampus	Anger
mun sepatah ku becakap,kau utuk. baik tah ku diam. pastu kau marah pulang aku diam? ngak paham	Anger
ahahaaa khas buzzerp jokowi nuduh org mau,dituduh marah	Anger
lah bego,itu all of us are dead kali gwinam	Anger
padahal gw stay di lokasi jg dianggurin lol buat apa lu nge-hire org luar klo kyk gini ceritanya tolol jd ga pengen gw duitnya mereka gajelas bgt,bikin stress doang
bangsat,ngagetin aja	Anger
pebenda lah org penuh dgn emosi last episode,time tu jugak dia nak sumbat ppl	Anger
gatau,gue benci banget	Anger
jujur shock di bagian bangsatnya sih,biasanya kayaknya drake doang ga ampe bangsat	Anger
sebb tu kalau org2 macam ni nak jalan aku buat x tahu je,selamba je jalan. kau x de hak nak halang2 jalan org. kecuali ambulans. bodoh	Anger
aneh ga sih? padahal dia lebih sering keluar berdua diem-diem ga ngajak aku tapi aku gada marah samsek krnapa giliran aku minta tolong buat ditemenin beli sesuatu dianya marah anjim aowkaowkaow padahal kan skornya juga 2:0,5 klo dipikir-pikir	Anger
hiyahiyahiya. terpesona,ku pada pandangan pertama. dan tak kuasa menahan emosi.	Anger
dipakai untuk acara pernikahan tuh,bodoh.. kunjungi ke tkp jangan cuma maen jempol aja luu.. keree gk punya ongkos
makanya anjir gue emosi,kesel banget nontonnyaa	Anger
bener,tpi juga bikin kesal lama2 liat mukanya	Anger
ga jadi deh,aku mau kak mark aja biar kamu emosi.	Anger
gue punya facebook,coba buka bem ternyata sama aja banyak virus adm
dari awal gasuka karakternya nu,knp dia bisa seserakah itu?? dan bodoh bgt segitu butanya. this is why i called him a jerk	Anger
rasa macam terlalu bodoh untuk law ni,nk ambil course lain lagi la bodo keje grab je la	Anger
anjir bsbsnya mimpi iparku ternyata jelmaan siluman babi,y tp kalo dipikir2 ada korelasinya si sm sikap
lo yg menganggap poligami adalah solusi dari perzinaan. oiya dan ngga semua laki2 mau poligami juga. poligami ngga gampang. banyak orang yg benci poligami karna manusia2 kayak lo. inget ya,tanggung jawab poligami itu berat.	Anger
bokap: ngelarang anak & istri nunjukin rasa jengkel also bokap: kalo jengkel nada ngomongnya ketus,banting pintu
si bodoh,minta monthly salary gak ngitung dulu kalo diannual ternyata sama aja sana sama sini pas di approved bingung kelabakan	Anger
diselingkuhin mereka belum sampe pacaran sih,tapi main belakang aja. diem diem gitu tapi ga mulus
"anjr kesal bgt sm yg suka curi""",semangat ashh smoga lancar jd bisa di td punya si pencuri mana judulny dari yg keren jdi cuman bridge
mestinya yg benci pemerintah di obatin sampe sembuh,tdk hanya covidnya yg sembuh tapi sakit hatinya juga sembuh..	Anger
1. jangan main klarinet. 2. jangan pernah melambaikan lampu senter ke depan dan ke belakang terlalu cepat. itu dianggap undangan. 3. jangan pernah berhenti menatap sekitar. 4. jangan makan keju,kecuali yang kotak. 5. jangan pakai topi sombrero. 6. jangan pakai baju bodoh.	Anger
"yang no 3 ""izinkan suami berpoligami","untuk mencegah perzinahan"" aduhh goblok banget ya jadi orang"
klo naksir ada si nder cuma setiap mau dideketin aku selalu ngasi lampu merah,jd pada mundur sendiri sendiri. aku disuruh sekolah dlu sm ortu
taik gua benci twitter,suka ke refresh sendiri bangsaat
salah sendiri baperan,tolol!	Anger
mereka ini ga pernah liat orang negro apa ya,rasis banget bangsat	Anger
soalnya dari kecil udah dicekokin kalo yang cakep itu yang kulitnya putih,alias tolol	Anger
jengkel bgt sama call centernya buru2 bgt closing nya,padahal masalah belom kelar. parahh!! oia kan sicepat namanya	Anger
bodoh banget dah checkout maybelline lupa pilih hadiah,Anger
gamau eskrim mau balas dendam sama om jev anjg maap kak esmosi jiwa - gpp,lagi
di satu sisi,kalopun emang proses kemaren gue gagal
dari 15 match competitive,yg menang cuma 4
slogan tu dah boleh buang,"ganti dengan ""semua polis adalah bangsat""	Anger"
setelah kucing gua udh di steril selama 13 hari itu udah dikurung dirumah,dan hari ini kabur dong main lagi ke rumah si tetangga sinting ini langsung gua kejar eh berharap gak ketemu dia tau2 malah sapaan ketemu amnjing bener dah bangsat	Anger
masih pagi,udah marah marah aja	Anger
frik ambis gajelas,males gua
jangan buat gua spill lu di rl ya njir,gua udh sabar udh hps twt udh ganti username tapi lu kayaknya emg nyari ribut sm gua ya cwek bangsat	Anger
parahh bangsat banget ya,planga plongo dongo beleng2 bangsat2 yg cr makan dr menghiaap darah orang dn nyawa orang	Anger
genius kang taehyun happy birthday anak lanang sehat terus jan sakit klo sakit aku marah kangen tyunn sulap,jg pengin tyunn ada konten masak trus upload di yt gitu _ __	Anger
kenapa sih gw malah download valorant lagi,tolol	Anger
jujur gue malu jadi orang indo,kok bisa tinggal senegara sama orang2 bodoh kyk gini semua	Anger
setan kribo ini model 2nya kyk si murtad saefudin ibrahim yg skrg pendeta yg selalu mendeskriditkan islam..si setan kribo klo mo murtad,murtad aja sekalian..jd umat islam cm bikin masalah n nebar fitnah..klo pemahaman agama islamnya dia bener gak kyk gini narasi si bangsat ini	Anger
"ternyata gue di block sama cowo kr di ig gegara dia pas minta foto yg aneh"" ke gue trs gue tolak","lagian minta foto yg aneh"" mulu dikata gue bego apa	Anger"
terlalu cuek dan capek berantem terus,tiap gue complain karna dia terlalu sibuk dan cuek malah dia yg marah
apasih bawa2 tahun,tolol	Anger
haduh jangan pjj dong,udah mulai ngerti pelajaran tiba tiba pjj jadi bego lagi ntar	Anger
bener bgt sih. banyak bgt yg benci ama gw. salah satunya pas gw kerja di penulis. ada nih 1 tmn gw yg didepan baik,dibelakang malah bilang ke kakak ipar gw kl dia gk suka gw
gua steril kucing aja abis 1 juta 3 ratus 80 ribu men bangsat mahal kan tapi karna kucing gua udah tua jadi reaksinya lama bgt masih suka spray urine sembarangan,suka teriak2 minta keluar nah itu yg bikin gua pusing	Anger
kalau tak p blaja tak p keje jauh,tak bergaul. rasanya aku pun benci ngan perangai aku thanks everyone sebb jadi contoh terbaik :)	Anger
daftar orang tolol dan idiot yang menolak kemajuan peradaban indonesia.. nanti akan dicatat sejarah penolak kemajuan indonesia,fotonya di pajang di tempat sampah	Anger
gue suka bingung,orang tuh kenapa sih caper banget mau atensi orang dengan ngehate sc? barangkali lo baca tweet'an gue nih
twt w mulai nga jelas ni keknya,mulai sedih
gua benci sama orang yg hidupnya kaya mp3,banyak lagunya	Anger
saya sungguh benci akan seto,dia ialah seksual anjing pokok pelukan sahaja	Anger
serius gue kangen banget wkwkw sampe nangis kadang kepikiran. tapi sekarang gue lg benci banget sama tuh agensi. sadar ga si kalo lu diem aja nih idol lu yang kena imbasnya. percuma diem  buat redain masalah,pastinya di sepanjang karir jake nih masalah bakal di ungkit	Anger
kita tengah bersiap dia call,memang kena marah la duit pun takde
pinjem duit di leasing,giliran ditagih marah ke penagih bayar listrik nunggak
opini lo yg nomor 3 bodoh,zaman nabi poligami itu untuk ngebebasin wanita dari budak dsb
halah hidup kok cuma modal kontol tapi pengen cewek banyak,berlindung dibawah sunah rosul. nih nabi yg denger pernyataan lo kayak gini nangis anjir
habis itu sakit hati,tolol banget emang	Anger
eh tiba tiba si a ini masuk jadi kelompok aku,aku yg emng agak punya dendam *maaf ya allah* kaya dih apasih
semua yg dari arab pasti halal cuy bagi sebagian orang-orang bodoh yg ada di indonesia kdrt aja dibenarkan kencing onta aja diminum teroris dijadikan anggota fatwa mui teroris dijadikan ulama,ustadz n guru agama kok	Anger
maaf nih mus,kl mnrt sy yg bodoh ini
tapi walaupun ada scene uwu di rs,rating malah turun. karena setiap scene ada si jessi yg muncul
udah gw duga,soalnya tumben bgt cube ngegas bgt promosinya dll
nah kan banyak homophobic nyampah di lapak itu foto mana kebanyakan dari indo lagi. mancing sih pake aplod segala,ujung2nya kan ada yang bawa2 w dan dia kena hate. bangsat emang yang nyuruh fanservice!	Anger
eeee bak je baca ni ak gamau emosi sndirian,dia yg minjem kok dia yg ngatur pantek ajan leme cicingan ne	Anger
lucu menurut saya itu adalah wilayahnya presiden,dpr
terus lawan siapa? tambah suwe tambah koyok wkwk lanjutkan lawakannya nawak nawak,gak emosi blass kok malah lucu lak nyawang	Anger
giliran sgala hal yg berbau islam dikebiri,dpojokkan dg alih omikron. srius yg muslim kaga marah??imannya turun atau emnx pura2 muslim?	Anger
kurang tolol apalagi cb ni agama? tuhannya gak ngasih hukum cerai malah yg nikah lg dianggap zinah. dan gobloknya masih ada aja yg mau jdi kristen,emg sih setolol-tololnya monyet aja ga nyembah sesama monyet
sumpah,shara bangsat anjeng bajingan	Anger
poin ke 3 kayak org bodoh ga sih? ngapain udah nikah berzinah sama wanita lain,ya di pikir aja. itu mah emang nafsu lo yang kayak gitu
"katanya orang bisa jadi bodoh karena cinta, tapi aku ngga peduli semua itu. aku cuma mikir, betapa bodoh	Anger
gue senin kmrn ampir di serempet motor karena bule tolol naik nmax lawan arah. gue posisi liat kanan karena laju kendaraan dr sana kan, eh si bangsat ngebut dr kiri. bener2 1 inch from terrible2 accident..	Anger
aku marah karna dia berantakan bgt dah gamau beresin tpi aku yg disebut gila harus diruqyah anjing pengen punya rumah sendiri biar bisa pergi jauh dari keluarga ini minimal aing lah yg mati duluan	Anger
sama diri sendiri aja gk jujur, kalo sakit yah bilang bodoh, obatin, bukan di sangkal !!	Anger
etmin harus banyak banyak sabarr:') walau sebenernya ak liatnya juga ikutan emosi	Anger
sampe gua pernah bilang ke dia kalo ketemu kucing saya dirumah situ tabokin aja pake sapu",tusuk kepalanya
masih pagi loh,udah ada yg bikin emosi aja	Anger
sjshhd yaampun iya pantesan,ih bego banget aku	Anger
lain kali otak tuh biarin aja stay di kepala jangan dipindah pindah ke kontol juancok,tolol kan jadinya. gih musnah aja
baju ilang lagi laundryan,pagi2 dah bikin emosi	Anger
¼kata kasar // harsh word ¼ bismillah asu babi bajingan celek jancuk kontol monyet tai anjing ngentot goblog tolol asuu astaghfirullahalazim,maaf	Anger
padahal de gea baru dapet penghargaan,udah dibuat sedih lagi sama tim tolol	Anger
dia siap kata kalau alter perkataan kena sign tepi tu. hello,aku ke yang kena sign? tanya la front hang apesal aku lak yang diragukan. nasib x kena carut aku dahlah ak marah betul kalau org spoil mood ak pepagi	Anger
luffy : selain bodoh,kau juga pengecut! aku tidak menyukaimu..!	Anger
jangan bodoh,ga boleh kena umpan	Anger
5/6 aakkkk benci kalo pulau2 kecil,ga paham	Anger
baunya busuk banget sumpah,gatau kucing w nih punya dendam apa sama gue pokoknya tiap dia kentut pasti deketin dan sok2 manja. aslinya kentutt	Anger
inilah contoh orang2 yg belum siap bersosial media ya gini nih udah close minded,racist
kyak gini nih manusia paling tolol! dikit dikit bawa agama,pola pikir goblok berkedok agamis.	Anger
satu keluarga suka kucing tapi ada 1 orang yaitu nenekku yang benci banget sama kucing kalo ketauan main kucing pasti diomelin,diperingatin toxo
saraf pada otak mutanjir kena,ini mah udh ga ketolong tolol nya	Anger
nah ini. kalau yg kita benci kejahatan2nya,siapapun wajib dilaporkan. dalam kejahatan itu siapapun bisa terlibat
oematmu tolol sih,gabisa bedain mana bunglon mana asli. kebanyakan halu ngentod ama bidadari transparan ya gini jadinya
benci banget sistem kredit. ok lah mereka mau cari untung lebih,tapi ngotak dikit lahh.. pantes emak w bacot bgt kalo 1% itu banyak beli cash di suruh indent 1 bulan udah gitu di diemin (gak ada basa basi atau nawarin lain). kalo kredit dah tuh heboh sendiri mereka nihh	Anger
no 3 kaga bener banget menurut gua mah. woii mencegah perzinahan ya lu tahan napsu bego jangan minta poligami. sekate kate banget minta poligami cuma buat muasin nafsu sendiri,jerk. dan no 4 menurut gua penyampaiannya salah distu seolah olah istri ni cuma alat pemenuh kepuasan	Anger
santai buat cowok,gak ush emosi
halah taik. pagi2 dibuat emosi gw,support system support system tatai anjingan	Anger
iya itu kan dulu,taun lalu
aku benci banget sama kamu,hatimu itu bagaikan busway yg sering mengeluar masukan orang lain	Anger
dit,gue bodoh. ranking 35/36 jadi menurut lo
ahaha benar,pagi pagi sarapan saja. jangan marah marah
emang bangsat para netizen,sampe bayi aja dihujat macam itu	Anger
bangsat,lu jg member malik anjim	Anger
mungkin ngerasa gaenak pak karna gopal udah tinggi jabatannya di aafikabbogor,dan mungkin juga dikira cuma bercanda
tolol banget gue,anjing. kok bisa kelepasan	Anger
ada bws yg ngert tweet ku,dia ngira ak benci krna gaada moment bw tah?? ak benci krna trailernya penuh sad moments..	Anger
faisal basri udah kesal sangat. abisnya si bakhun bela jokowi pake gigi lima,gaspol. sebelum live ngomongnya lain
makin benci dan sebel terhadap agama2 terutama sekali agama yg entu,udah bisanya cuma bikin susah orang
topa tolol,bukan berarti semua orang ikut pindah	Anger
mau apapun yang aing post di medsos ya berarti aing merasa hidup aing udah cukup,bukan buat alesan saria nginjem duit ka aing dan ga bayar hutang
ioe la wax nga doug si yeufou xalei,lolou nga tolol	Anger
eitss jangan marah marah mom,nanti asi enggak keluar	Anger
pagi pagi udah emosi baca au kesel,gak blh ada yg bikin bian kecewa atau sedih ih	Anger
please jangan buat gue emosi ya pagi pagi,hey para homophobic	Anger
aneh si,orng kalo udh cinta kdng kadar kebegoannya meningkat. maaf sender tapi jujur lo bego	Anger
apasi ngentot gajelas. mau kecil,gede juga kalo tuaan gue itu org jadi adek. tolol	Anger
gue kagk,gue suka jedotin cewe gue ke lampu merah karena benci gue lamer lama banget
cuy ajg wkkwkw tolol semua di rnjna uda paling bener emg aku cuma baca lfs aja,karakternya bener semua tida seperti di rnjna yg mostly pada problematic toxic selfish	Anger
gini amat punya motor kudu nyuci sendiri,ntr kotor sendiri dhehxhwh kesal	Anger
kasian nih org,"istilah ""anak kolong"" aja gak tw.. bisax main medsos tp malas membaca"
eh,ngomong gitu di benci sama orang jepang lah jangan sampe kau ngomong gituan terus orang jepang ngangep negara kau nih gk benar etika ny	Anger
satu sisi teriak-teriak darurat pandemi,di sisi lain melakukan hal2 bodoh macam ini. kasian sekali nasibmu rakyat	Anger
bohong ya,biasanya marah marah tuh gue liat	Anger
makin benci sama jumat. 24 jam termual untuk sebuah perjalanan darat,tasik cirebon tasik. sabtu udah kerja lagi
nyenye nye,cowok sekarang banyak yang bangsat	Anger
aku jengkel liat si akun yunnie azza a.k.a princes manula inj mb. cari nafkah aja masih berjuang di negara orang lain,sibuukk ngejahatin circle mb ivone di tl. dr kemarin sy liatin ss tweetnya
di anyara anggota dki,aku pingin macarin model kasino marah aja lucu sewotnya
benci bgt liat seorang profesional begini,keliatan bgt tukang nyinyir. emg di kedokteran gak ada kode etik yang mengatur tentang etika bersosmed ya?	Anger
hdeuu gw marah yhh tempe digituin,pdhl tempe makanan terenak dimuka bumi inie	Anger
disgusting. sejak kapan poligami diijinkan oleh agama buat mencegah zina? rasul juga poligami bukan sama wanita muda,tapi sama janda dan untuk melindungi mereka
undang2 bodoh pala hangguk ko dah hentam blkg,sah2 laa salah. jarak between kenderaan tuh 3 saat atau selang 3 kereta. takkan tak tau undang2 jalan raya bodo piang ngat aaiihh. meh sini keter ko aku sodok dgn backhoe 18 kali
ah alibi siamah,bebeja weh teu bisa nahan sange
eps 7 saya kesal dengan gwinam ni ngapa kaga die sih? emang zombie immortal yak? udah jatoh dari lantai 4 bos,apa harus di shot gun baru die ni orang? terus namra bisa feel gwinam
kalo bodoh jan ngajak2 org lain dah,stress	Anger
bodoh ya bodoh aja,tapi jangan ngajak - ngajak!	Anger
pas mlaku ijo dikon ngucapke habede tau,ilopyu jangan marah yo tau tur nek pas oren kok kon ngucapke ngene njuk le ngomong kepie gek lanang?	Anger
sakit hati,tapi ga berhak marah juga karena bukan siapa2	Anger
sumpah gue benci banget orang kaya gini.. kalau g suka lebih baik diam drpd melakukan sesuatu yg bikin sakit hati,kl ibunya sampai tau gimana sakit nya anaknya digituin mb nya udah sempurna apa? benci banget sama org yg mandang fisik	Anger
males,bikin emosi	Anger
anjing u kontol bangsat memek,munculkan lagi semua karakter yg ada di s1
oii mangkuk,sblm ph 22 bln pun harga ayam lat tesco mmg 5.99 bahalol untungla kontol + bodoh free	Anger
banget hehe,apalagi kalau lg tidur trus kaget rasanya kaya pengen marah marah	Anger
ntr klo di sadap balik marah,ups.	Anger
apakah kamu juga harus berbuat hal yg sama pada orang lain meskipun org itu tak bersalah padamu? hanya untuk mendapat perhatian dan balas dendam? c'mon,hal tsb justru hanya akan tambah membuatmu semakin dibenci dan dijauhi. cobalah belajar utk menahan emosi dan perkataan +	Anger
punya acara pagi bukannya disiapin dari malem atau bangun lebih awal malah milih marah marah di pagi hari,hdehh	Anger
apa apaan ini,benci bgt pagi pagi lewat tl bikin iri dengki	Anger
kalo dia marah sampe ngancurin barang kaya hp dia atau apa,plis tinggalin	Anger
lah,tibe kena marah	Anger
gosa bebawa mu nad,banyak yg marah. urus liga italy aje	Anger
aku ngadu ke dia dong,"tatang marah ngajak aku ke tempat ayato. disana dia langsung ngomelin ayato. ""lu jadi ketua kelompok ga becus banget sih?! malah anggota lu yg nyariin buat ngajakin kerja kelompok sampe babak belur begini diboongin preman sekolah!""	Anger"
dia diam diam benci gua,tapi dia cerita ke orang orang yang benci ke dia. dari 10 orang yang dia kenal kira kira 11 orang lah yang benci sama dia	Anger
sudah makan belum bang,janganlah marah atau sedih karena kalah..	Anger
itulah pukimak ny cebong .. udah dy yg d bodohin,teteep jugak bilang org yg bodoh .. kepala hotak kw lah ceby	Anger
kayaknya netizen di tiktok,jauh lebih tolol dibanding netizen sosmed lain deh	Anger
yang lebih sedihnya di tempat kejadian gaada yg nolong abang gw njing,dia nelpon ke bunda
gue orang kota,tp tiap pulkam tuh waktu pake legging 7/8 diliatin mulu. apalagi sm yg laki
gue ngetwit lumayan emosi,ampe bikin thread berantakan gini	Anger
"gua mau nyemangatin org""",tp gua sendiri lg ga semangat
ahay bocah tengil tolol,cuma pintar foya2 ngabisin hasil warisan. mumpung masih banyak warisan
dibilang setia itu tuntutan. aneh bgt anjingg kalo emg udh namanya sayang mah bakal setia dgn sendirinya tanpa diminta,apalagi kl udh nikah hrsnya punya kesadaran sendiri buat setia sm pasangannya lah. tolol bgtt kesel pagipagi udh dibikin emosi	Anger
aku bukan bermaksud nak biadab tapi ko faham tak bila dalam ramai2 adik beradik dlm rumah ni,parent ko asyik sebut nama ko je
sorry to say,gk dulu deh opini nya kak. gamasuk di akal dan hati nurani soalnya. ya kalo sekali dua kali mah gpp
pak anis for presiden? insyaallah saya dukung,why ? karena rekam jejak beliau yg baik
prettytitit pencitraan lo udah sampai kelangit 7 pemprov lo kekurangan dana pajak lo hilangkan itukan aneh,"gua gak tau itu namanya dungu atau bodoh dua""nya julukan kamu!!	Anger"
masih pagi makannya begini. pdhl baru beres sikat gigi. perut jd kembung krn minum air hampr 500ml. klo diingat - ingat kmrin g mkn berat samsek. pagi mkn roti,diskul mkn kue sm puding. pulsek.. ga ada
keluarga besar aku,jgn risau sbb korg termakan hasutan puki lahanat adik-beradik aku.kecuali bapak si murni. kau hina si syahirah ni gile
two twts rj ni,bikin emosi
halah tolol,ngang ngeng ngong ngilang juga lo	Anger
knp ya hati ini sangat marah ketika pak jokowi d fitnah,
lu tuh udah bodoh,pendek
dah mulai mentalbreakdance~ lg kemarin menjauh sbntar krn ga pgn bocil kena vibe negatifku,emosi bgt smpe banting pintu kmr mandi
uish. kena tarik pt la bang. sem 1 teruk,sem 3 tak dpt pt. selang satu sem. kes aku
iya cakep,emosi nya dapet banget pagi pagi	Anger
gila ya,emosi lo aku liat komen-komennya
kereta milik cm sarawak,abang johari. celaka punya vvip!! aku paling benci dengan golongan puk**k ni	Anger
ingin kesal,tapi benar	Anger
"emang benci bngt si kalo liat"" komen di tiktok",kalo maen tiktok jarang buka komen biar gak emosi sendiri wkwk	Anger
dah tetiba kaitkn malaysia si bodoh libertard ni,takde lagi genocide di malaysia spt berlaku di papua sekarang lol	Anger
wes ngene wae nder serlok saiki,marakne emosi esuk2	Anger
dah dekat 2 tahun jadi kerajaan,baru nak cakap tak setuju. kata tak setuju dari awal. so patutnya tak payah la terlibat terus. bodoh.	Anger
ini bukan rp,dan juga jelas dong banyak minor plis jangan bodoh kirim ginian ke base	Anger
aq dh 5 kali approach..smua ke reject..sedih siot..siap depress..tu la nk ckp takut nk approach dulu x la tp effect after approach tu yg prob..klau diterima ok..lau x sedih,malu
hadehh,bego bgt dah	Anger
meme gk jelas. tangganya ki step by step proses gitu harusnya,mosok random
jd inget kmrn,niat masuk kamar mandi mau pake pembalut tp malah pipis. pas udh pipis pembalut nya kaga dipake. emosi sama diri sendiri	Anger
woy tolong lah mu klo lgi tolol,tololnya kebangetan banget	Anger
makin kesini ya makin yaudahlah ya serah deh mau gmna pokonya kalau udh dibuat kcewa ya lepasin,ga dendam cuma ya udah gtu aja
tidak peduli,marah
kenapa sih,dapat yg tulus maunya yg brengsek bodoh	Anger
kek apa ya gasuka sm teman yang ngasih tau tapi kaya sambil marah marah gitu,apa ga bisa kalem gitu	Anger
bayangin aja ryo: ani sihh aced: tau tuh,kena marah kan lyan: lah kok aku?? berakhir gelut bertiga	Anger
nggak nunggu lebaran pak,minggu bsk sdh mgatur2 org kerja
kalo pasangannya tau,bakal marah nggak ya?	Anger
iyaa bestie tp saya ky orang bego kalo online,ini krn banyak yg positif soalnya:(	Anger
rawedi di benci,ramekso dikonco. be your self ngadek jejek tampo basa basi.	Anger
kamu yang tolol + kayak tytyd. ngejawab tapi ga rinci,pakar apaan kek gitu
dulu pernah install tiktok gr2 pandemic,iseng di rumah nganggur mo ngapain
berarti gravity probe-b sudah menyerah? oke. fix. kamu ini baperan,bodoh dan ingin terlihat pinter. ngaku psnteis
dari subuh udh ga mood,pas main ml pun jdi emosi an	Anger
begini nih kalau punya netizen goblok banget! ini bahas bola apa mau bahas tentang apa?! emang lazio gak di roma?! pinter dikit kenapa? apa harus semua di jelaskan sejelas jelasnya?! kalau kagak paham diem,jgn norak! kalau bilang lazio ibukota prancis nahh protes gpp. tolol.	Anger
akhh kenapa bang mark ganteng banget bangsat di mv child,pengen gw gak bisa	Anger
pram said ini lgu buat kalian,yang punya rumah tapi terpaksa pergi karna suatu keadaan bangsat itu aku	Anger
maklum mereka sdh pada gila semua .. gila cari untung untuk pindah ibu kota gila cari untung dengan uang pasokan aseng gila cari untung dengan akhir masa jabatan lalu sama sama rampok nkri,bangsat..	Anger
i biasa i balas dendam,kalau dia main game melampau lampau
dia marah yae di ship sama ayato,katanya yae miko based on yae sakura on honkai yang emang canonically lesbian tapi ini kan genshin impact	Anger
ihh,mau marah!!	Anger
pas ketemu,ngak jdi marah
bodo amat anjrit bulan kemaren terakhir gue minjemin lo duit,itu 2
kamu sih protes,jadi kena marah kan.	Anger
sek pagi wes emosi,udaah mau 3 hari gabisa login.	Anger
balas dendam,biar yakin kl suami istri bs saling nutup aib	Anger
gua bangun-bangun jam 6:45,panik bat anjir. udah siap-siap mau ngga mandi kesekolah
emosi juga tgk byk post dr owner yg kematian kucing akibat virus parvo. bkn emosi sebak,emosi nak marah. tolonglah vaksin kucing. dulu aku taktahu juga pntgnya vaksin utk kucing	Anger
yg dari kota sebelah kena penjara 8 bulan denda nya 20 jt gegara kerumunan lah yg ini??..kok bisa ya,maaf sya org biasa yg bodoh gak ngerti..atau jangan2 sya ini yg dibodoh2in ama yg beginian ya?	Anger
halah,ntar pas gw jawab
