text,label
enak ya,bangun tidur langsung cuddle sama ayam	Joy
pengen tinggal di perpus,enak aja ngeliat banyak buku	Joy
allahumma sholli ala sayyidina muhammad semoga hari ini penuh keberkahan untuk kita semua,pekerjaan dan diperlancar rezekinya semangat pagi	Joy
nabilahjkt48 suatu saat kita kn berdua,1 atap bahagia bahkan tuk selamanya	Joy
pagi pagi di keadaan gue yg ga enak badan ada kabar baik banget,alhamdulilah jimin gue sembuhh	Joy
happy weekend mba noni,bahagia selalu	Joy
selamat pagi om,sehat selalu dan tetap semangat	Joy
iyaa wlaaupun gajadi sma yg di video (pen nyebut nama tp takut) wkwk,tapi dia bahagia bgt with his lil family trus suka cerita2 kelakuan baby layla
aamiin,semoga hari ada yang nyantol ya! semangat	Joy
hey,semangat!	Joy
sale pisang 8k,ini enak bangett . dom tangerang 5 qa?link toko ada di bawah ya	Joy
good morning gita,semangat buat nanti streaming nya (2Œ'_2Œ';)	Joy
adek w ldks sm pengukuhan osis lewat online,ga enak bgt	Joy
waduh,yg wangi2 bayi sih enak. kaya zwitsal	Joy
assalamualaikum,semangat..	Joy
tuhan,semoga istirahatku malam ini kau damaikan
semangat trisya,happy weekend	Joy
makasi kembali ka,semangat pagi ^o^	Joy
pantesan ada istilahdek cinta gak enak padaku? si adek bilang cintamu abang trus si babang bilang adek ku kalau kau cinta pada ku usir bapak mu..,..	Joy
pagi,udah 2.6jt semangat yang hari ini streaming. enjoy streamingnya
hmm imo,seni itu untuk dinikmatin
semangat,jangan lupa sarapan	Joy
kei,enak	Joy
semangat terus ya kak,aku do'ain semoga kakak baik2 aja
gua liat lysyn dejun sedih,iya gpp jun kita nunggu wayv kombekmaaf ya jun semangat wayv	Joy
bismillah,pacar 2
semangat,bestie
waa enak tuu,semoga libur mu bahagia yaa!~	Joy
pemipin yg penting byak ide bukan diberi ide terus menerus disetir,bgmna caranya bisa dalam jangka kurang 20th indonesia jadi super power rakyat makmur ..! gampang kok kuncinya tanpa perlu menghukum koruptor segala
bismillah hari ini aku sehat,aku bahagia
semangat kak,aku setia menunggu ;)	Joy
enak kalo masak telor ceplok,margarin yg masih nyisa ditaruh di nasi behh	Joy
bismillah,yuk semangat pagii	Joy
pasti kuatt,semangat semangaatt	Joy
oke,kak wulan. sama-sama ya. beyar senang mendengar kabar baiknya. selamat menikmati layanan indihome kembali dan selamat berakhir pekan :) -beyar	Joy
aku pake skintific,enak nder gel gitu gak bikin banyak minyak juga di muka aku yang oily. gak bisa banyak review karena baru semingguan pakenya ;')	Joy
pagi,mbak mita.. tetap semangat	Joy
aku sangat senang kamu mendapat atensi dari seluruh dunia atas kemampuanmu. dan akhirnya kamu berhasil menempati posisimu untuk debut. senang sekali. melihatmu berjuang dr awal karirmu,kamu pantas mendapatkannya walaupun harus naik turun dan jauh dari rumah. shen xiaoting yyds!	Joy
yang diharapkan itu pacaran dengan langgeng dan bahagia,kalaupun sekalinya menjadi mantan aku ingin kita menjadi teman bukannya musuh.	Joy
aku menemukan kentang goreng yang sangat enak aku akan memberitahu kalian nanti tunggu saja tidak sekarang,karena apa saja bisa dijadikan konten aku akan melakukan apapun dengan diriku sendiri jadi ini memakan waktu yang lama ^_^	Joy
semangat 45 biar bisa upgrade vivo y12 yang udah ngeleg,semoga ada rejeki aamiin	Joy
met pagi ya,jangan semangat	Joy
pagii semangat kegiatan hari ini,jangan lupa sarapan
diliat2 jaehyun kalo deket jungwoo tuh bawaannya ketawa bahagia terus. jungwoo lagi diem aja,tiba2 jaehyun bisa nyubit pipinya atau nepokin pantatnya jungwoo	Joy
bagaimana yang aku rasa. tak jauh beda denganmu! intinya,kita merasakan sama. sama-sama menderita sama-sama bahagia! semua bersama :)	Joy
happy saturdayy,semangat buat hari ini! have a nice dayy ;3333333	Joy
kemarin sedih sedihan,hariini bahagia yaa	Joy
yang semangat,cantik	Joy
semangat pagi,semoga ada rezeki hari ini	Joy
sama aku juga gitu kak sender,kadang mikir knp ya aku ga kek temen ku yg banyak gitu suka ke dia
aamiin,semangat jelly	Joy
aamiin semangat yaa,tim arkeolog juga nihh	Joy
di saat senang ataupun susah,menangislah dalam hati..	Joy
sepanjang perjalanan hidup ini,terlalu banyak perkara aku lalui banyak juga kenangan yang telah tercipta
bisa jadi tuh,kak. di sini juga kemarin begitu
semoga cepat sembuh pak,
sama samaa,semangat terus kak nulisnya	Joy
pagi juga om,semoga sehat selalu ngopi om enak sekarang apalagi ngak ada beban liat kiri dan kanan liat orang mencurigakan	Joy
pagi bang,sarapan bubur ayam enak nih bang	Joy
bersyukur sekali karena berkatmu aku juga bahagia dan merasa nyaman. inget taehyun tuh bawaannya happy,semoga panjang umur dan sehat selalu untukmu yang juga salah satu sumber bahagiaku	Joy
hahaha,ke-distract
memulai pagi dengan bismillah.... mari kita memulai ikhtiar kembali.,semangat pagi..
lucu banget noona kolaborasi twibbon yaah? makasih banyak ya noona! have a nice day,semangat event!!	Joy
janlup sarapan,semangat buat hari ini	Joy
pagii semangat kegiatan hari ini,jangan lupa sarapan
streaming nya enjoy sih,soalnya lagunya enak hehe	Joy
allahumma sholli ala sayyidina muhammad semoga hari ini penuh keberkahan untuk kita semua,pekerjaan dan diperlancar rezekinya semangat pagi	Joy
kabar gembira untuk kita semua,kulit manggis kini ada ekstraknya
morning moots semangat,bsk kembali nganggur.	Joy
ya udah,semangat buat hari ini	Joy
buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan cantik	Joy
hei semangat! aku juga tiap bulan dulunya tebus obat sama konsul psikiater,tabungan habis buat ngobatin mental doang
woo,semangat jalani harii!! hv a sweet saturday	Joy
enak nih,pagi2	Joy
finally jimin my angel,anak lucu uda negatif dan uda mau keluar dari rs kan senang banget rasanya jim lihat notif wv pagi ini makasih uda pulih pokoknya tetap jaga kesehatan sayang	Joy
ihh enak banget,have fun yaa	Joy
done bismillah makasih banyak buat ganya semoga banyak hal baik yg dateng ke kamu,semoga impian kamu segera tercapai aamiin buat jaehyun dan soobin jg semoga sehat selalu
maksud ak tp itunya yg gua melaka ga enak bgt bestiee,gatau sih tp kalo yg suka manis2 dan ga suka kopi kayanya bakal suka	Joy
have a nice weekend chii,semangat hari ini!!	Joy
selamat ulangtahun bo,semoga sehat terus dan bahagia selalu yaa	Joy
kuuyy kak,mau liat haekal bahagia
haalooww bocil sunuu,selamat hari sabtuu
best class ever pokoknya. susah,senang
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan ayaa	Joy
kak,semoga semuanya baik-baik aja yaa
10000?0 sihh enak didenger gituu,lirik nya juga relate bangett djdjjfjf keren ya tuhan	Joy
halo,siapapun kamu dan dimana pun kamu semangat terus ya. masih ada langit di atas langit
yukk,semangat nih	Joy
masih lemes,ayo lebih semangat	Joy
semangat ya,fase fase seperti itu memang luar biasa	Joy
pagii,ngga nih cerah disinii	Joy
semangat dungs,pc & merchku blm dtg jdi hrs tetp semangat	Joy
happy birthday uri maknae semoga bahagia dan sehat selalu ya,Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan adet	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan ola	Joy
semakin didengerin suara gue makin ga enak,gitu kok pengen duet sama jungkook
assiikk udah hari sabtu aja nih.. yg masuk kerja tetep semangat yaa.. indihome selalu mendukung aktivitas onlinemu,Joy
iyaa. gorengan nanas tepung,enak bangeet deh.	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan lita	Joy
semangat ngerjainnya,have a great day pit!	Joy
halo semuanya,semoga kalian tetep bahagia dan juga tetap semangat nge-ba nya yah-!	Joy
enak banget kerja gak ada bos sambil dengerin lagu jeketi,nikmat sekali rasanya	Joy
halo pahari samandiai,ada kabar gembira nih bagi para jagoan badminton di kalimantan gass skuy !!
alhamdulilah aa,jimin udah sembuh. berarti gue juga harus semangat dong biar bisa sembuh	Joy
gataww y gw happy pagi keekk ngalir aja,semangat rawr mwah lvyu	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan sebb	Joy
terima kasih buat pemilik akun cantik,sudah selalu hadir
bukan cuma orangtua yg memotivasi hidupku,tapi kamu cileng
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan agas	Joy
alhamdulillah,i am happy for you nder
oalah,semangat bi	Joy
jangan melihat masa lalu lebih baik dari saat ini,karena hanya buatmu sulit temukan bahagia tuk dirimu sendiri. just be happy!	Joy
semangat buat kamu yang lagi latihan,ya walaupun gak ke notice. semangat	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan anna	Joy
mas put sakit apa? tetap jaga kesehatan dan jangan lupa bahagia,krn bahagia adl obat dr segala penyakit.cepat sembuh ya mas.	Joy
ditungguu,semangat tinn	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan raa	Joy
happy birthday vale,bahagia selalu ya!!	Joy
yakan,semangat ngapalin treasure nya	Joy
ra,terima kasih banyak! aku senang dengarnya ¹. wah
jelek bgt sabtu mu semangat ya,jgn lupa sarapan!	Joy
semangat buat hari ini ya!! u deserve to be happy. anw,jgn lupa sarapan adolf	Joy
happy birthday tamaa,semoga bahagia selalu yaa (2´`)*	Joy
bangun pagi dengan perasaan bahagia inget kalo kemaren mark rilis child,lagunya disukai banyak orang
haloo my lovely jejee,gua gapapa kok hehe
agan- agan udah pada nyobain belum nih pempek kapal selamnya joeragan?dibuat dari 100% ikan tenggiri segar,enak loh!	Joy
have a nice day teh,semangat banget nih diliat liat	Joy
pesan semangat mangkalnya,unnie!	Joy
pagi nder,semangat nder	Joy
carasun ini enak juga ya jadi sunscreen,mana dapet ukuran 70 mlnya lagi
hello to you. memang kadang perasaan gak tenang itu suka nyamperin sih,nggak enak ya? tapi gapapa
pagii,semangat juga yaa	Joy
happy birthday ~ maknae on top nya dreamis,adek kesayangan abang jeno. sehat selalu ya adek. terima kasih udah lahir ke dunia. bahagia selalu
selamat pagi mots,karena lagi g enak badan
happy b'day dedek jiee. adek nuna udah gede. ttap jd maknae yg sabar menghadapi kelakuan abang2ny yah. nuna syang jisung. bahagia terus yh. tenang aja,jisung ttap jadi maknae kesaayangan & yg pling kiyowok
haloo cici,gua gapapa kok hehe
jangan jadiin beban,percaya sama kemampuan sendiri sendiri !! semangat pasti bisa !!	Joy
semangat,gua kasih minum nih	Joy
hii kak,semangat yaa
semoga bisa jadi perempuan yang mandiri,semoga bisa terus nyari duit sendiri
seringan apapun masalah,karena malas ia terasa berat.seberat apapun masalah
hey km tetep semangat yaa semoga cepet pulih. jgn lupa istirahat yg cukup,eat well & minum vit. speed recovery bestie	Joy
wkwk benerr daripada bilang semangat,ajak liburan yuk	Joy
selamat pgi jga pak suryo,salam sehat penuh semangat
happy birthday,valee. bahagia selalu!! ;33	Joy
hii amaraa,semangat ya buat hari inii
selamat pagi,semangat olahraga	Joy
saya jual sale pisang 8k,ini enak bangett . dom tangerang 5 6
yuk kak tamatin,semangat !	Joy
ututu semangat bum,aku masih lama.. 7 maret	Joy
semangat bitt!! good luck,semoga semua urusannya dilancarkan ya
aamiin allahumma aamiin,doa yg sama buat maak yaa sehat & bahagia selalu ya maak	Joy
jago juga middlesbrough,emang enak lu cr haha	Joy
telor dikocok,butter dipanasin di atas teflon
jeyop kamu itu ceriminan diriku. terus hidup bahagia ya sampai akhir hayat kita. jangan sampai sakit,sehat terus
tersenyumlah mi_christychibi,tinggalkan sedihmu. bahagialah
2 kali ngekos km luar. yg dulu gak enak,karena kotor dan suka rebutan. yg sekarang bersih dan adem ayem aja
alhamdulillah selamat senderr,semangat	Joy
selamat pagi! semangat nge ba nyaa,semoga banyak req dm	Joy
hii ayaa,semangat ya buat hari inii
makasii,lu juga semangat yaa	Joy
semangat ka fiony~~ sehat selaluu,we always love you	Joy
nelayan sejahtera,rakyat bahagia..semangaatt gus ketum	Joy
mensyukuri hari ini,belajar memperjuangkan sesuatu dengan penuh rasa ikhlas & semangat untuk sebuah kebahagiaan!	Joy
"isi kepala gue""why why why kill my night""",alias child enak banget
good pagi pagi on this partly cloudy saturday dipagi ini,happy day off n semoga harimu menyenangkan semangat theaterannya hari ini	Joy
semangat dhii,rest well ya	Joy
pertemuan petama setelah 4thn tidak bertemu,terima kasih karena selalu peduli
emang lebih baik sih baby bahagia sama yg lain..krena dasarnya aja sejak 5tahun yg lalu pas si om lupa ingatan si om udah hilang rasa kan sama baby..drpda di paksa mending baby sama yg lain aja yg bneran tulus..si om juga udah nemu bahagia,a yg lain kan..	Joy
angel_chibi terima kasih karna km udah buat hari-hariku jd lebih bahagia,km adlh hal terindah di hidupku yg singkat ini :')	Joy
semangat om,podo ae iki kene. lg usum	Joy
happy birthday uri jisungiee semoga panjang umur,sehat selalu
sukses mion,semangat	Joy
ajak depa bertiga jalan-jalan santai petang di lcct. saja nak tengok kapal terbang landing. hakak kau suruh ambilkan gambar. habang apa lagi. keluarkan segala skill yang ada. guna smartphone cokia made in china jer. alhamdulillah,hakak kau puas hati dengan air tangan habang.	Joy
kak kay maaf telat,makasii banyak-banyak kak buat ganya
maaciw kak udah ikutan giveaway nya mimin,teruss semangat semoga kamu beruntung yachh
yeahh,aku akan semangat	Joy
dengan senang hati,kak ini
selamat pagi.. tetap semangat,tetap optimis biar bisa bigwin. amin amin	Joy
met pagii,semangat kegiatan hari inii havee a nicee dayy!	Joy
lagi semangat belajar kimia,kalo gurunya ga dateng gue nangis sih	Joy
aku yakin,aku akan bahagia
haha,semangat kerja ssyangku. nanti pulangnya tiati yaa	Joy
terimakasih sllu dukung bang,selamat akhir pekan sehat dn bahagia	Joy
manusia manis,manusia baik
soalnya my biggest mistake utbk kemarin aku hopeless duluan,terlalu banyak kekhawatiran kalo aku ga lolos dan itu bikin ga fokus ga enjoy yaa kekhawatiran itu beneran terjadi taun kemarin wkwk semangat buat sendernya ya!! pasti bisaa!!	Joy
kak caa semangat terus yaahh!! u can do it well!! kalo capek,istirahat duluu
cari bubur ayam yang ada malah bubur sumsum but issokey lah,sama sama enak juga. met mamam	Joy
aamin semoga lancar nder,semangat!!	Joy
hi,kak langit. waah mantap ya kak. semangat terus wfh nya kak. semoga sehat selalu. -diar	Joy
hbd jisung,semoga km selalu dikelilingi orang-orang baik
gaa,oke semangat nyucinya	Joy
lucu banget jisuung twibinyaa happiest birthday sayangkuu,wishing you anything but only the best one in your life. jangan lupa mam yg enak ya hari ini	Joy
terimakasih udah sa-in dan bikin seneng selama 3 hari yaa dan bikin semangat harinya-aku yeaay! mau kasih love juga biar kamu gr .g,kamu juga sehat-sehat jangan kebanyakan makan garem kasian nanti darah tinggi (?) istirahat yang cukup
eh kak yumii rest well yaa,semangat belajarnya jgn lupa jaga kesehatan	Joy
semangat,semoga lancar ya	Joy
ada raisa makan semangka,ayo kak mimin yakin kamu bisa dan semangat terus yah ^xb	Joy
morning,semangat	Joy
á…  á… á…  á…  seru juga rumah deket pantai. boleh-boleh,saya masih muda. enak dong
enak kan,apalagi mie ayam yamin	Joy
pagi neng,semangat sekolahnya	Joy
jalan lurus pergi ke bogor,semangat terus jangan sampe kendorgood luck yaa kak ^va	Joy
jisungg,selamat bertambah usia!! sehat dan bahagia selalu yaa!! __	Joy
selamat pagi cantikku,semangat kegiatan hari ini! jangan lupa senyum hari ini! have a great day!
pagi,ibuk! semangat menjalani harinya~	Joy
aku adalah anak pemalas selalu riang serta mageran,karena aku rajin drakoran tak pernah tidur dan overtingking la la lalaa~~	Joy
kalau ibu sakit,ya ibu tetep kudu siapin makanan dll dll
waah enak betul baru bangun hehe,ayo cepet bangun trus mandi	Joy
glad to know that,semangat sender! itu tiap semester udah ada peningkatan bagus bgt. semoga dilancarin skripsinya ya ;3	Joy
enak,kebab bbq	Joy
morning,nie semangat yaa	Joy
gue juga lagi sebel sm keluarga,tapi liat u aku ngerasa kek masalahku gaada apa2nya dibanding kamu aku ngerasa malu:( buat kamu semangat ya kalo mau temen buat something talk boleh kok yuk dm an	Joy
semangat om.apapun pekerjaannya yg penting halal.jgn menyerah,terus berusaha dan kerja keras.insya allah berhasil	Joy
turut berdukacita kak,semangat! big hug for u	Joy
baru saja mau seneng ada aja hambatan,apa mungkin hidupku gaboleh bahagia ya.	Joy
disana menanti di sini menunggu .. gabutt naann,
uwah semangat,besok lusa ya	Joy
bahagia itu sederhana,yaitu saat kita lolos dari remed(^^)	Joy
sejak kita mengenal dunia,orangtua mengajari kita tertawa
diyann rest well syg,semangat belajarnya! jaga kesehatan yaa	Joy
wah,ikut senang. selamat ulang tahun sender! boleh aku pakai twibbonnya juga?	Joy
huee ngakak that ah wkwk,mayan lah suntikan semangat sebelum perform	Joy
semangat msh pagi,Joy
nape nk dengar cakap org? commitment you diorang settle kan ke? i tanye je. kalau nk puas hati manusia mmg tak you,sbb manusia sifat dia tak pernah puas.	Joy
selamat pagi mas,salam sehat penuh semangat dan selamat berakhir pekan	Joy
almond,coklat
is astagaa pengen beneh mencok aaaaa sesantap,is asinan enak jua gaknya sabar len masih blm buka puasa masih lama	Joy
demi masa depan yang cerah,aku di larang menyerah	Joy
semangat terus yaa kakkpastiin udah sesuai s&k yg berlakuu,good luck ^va	Joy
makasii,semangat juga buat hari ini pik!!	Joy
doaku ga minta banyak kok,cuma yg aku sayangi bahagia selalu
anak muda kudu semangat,jgn letoy	Joy
semut aja semangat,masa kamu tidak
selamat pagi kk ku,tetap semangat dan ceria kita ya kak	Joy
selamat pagi tapanuli utara,semoga semua sehattttt	Joy
hihi,semangat trs ka bikin au nyaa! tulisan kk bagus bagus bgtt soalnya	Joy
semoga hasilnya negatif ya kak sha,semangat!!	Joy
"d-day aku bener"" berdoa yang terbaik buat kamu","semoga bisa sehat"" dan bahagia selalu"
aa makasii,lu juga semangat yaa	Joy
coba denger yang good riddance,give me novacaine sama stay the night. itu juga enak	Joy
haii nottie,semangat yaa hari ini jangan lupa sarapan yaapy weekend -paw	Joy
pagi ini gk sengaja ketemu bestie yang baru nikah,seperti biasa kalau ketemu suka cerita dari hal yg gk penting sekali pun. sampai dimana! dia gk sengaja bilang kalau gk bahagia
susu kenyot,lebih enak minum langsung dari sumbernya	Joy
semoga cepat sembuh,ga enak gatal-gatalnya	Joy
bahagia bgt hari inii,jimin diinfo sehat dan keluar rs
jangan hiasi wajah dengan sedihmu,karena kamu tak pernah tahu seseorang bahagia hanya melihat senyummu.	Joy
salah dap,jadi gk suka	Joy
haha iya,kamu juga harus semangat!	Joy
gapapa yaa,semangat juga buat hari ini	Joy
iya peran di about ada 3pengirim cerita,konselor
semangat kementerian bumn pak mentri bumn erick thohir bumn hadir untuk negeri demi pemerataan pembangunan dan kesejahteraan masyarakat indonesia semangat pak,Joy
iya,rupanya enak cosplay jadi nasa	Joy
habis dengerin,ternyata enak bgtt	Joy
*the day !! seleksi daerah kompetisi matematika*,hai hai
tengok orang lain bahagia sangat in relationship,jadi ingin	Joy
kalo ke canggu,wajib banget sih ke moana sih. ini pesennya super random tapi enak semua. apalagi black sauce nya	Joy
yay,nonton sendiri lebih enak.	Joy
semangat diah,yuk bisa yuk buat hari ini. bismillah	Joy
aku senang,jangan ganggu mood bahagiaku	Joy
aku arep golek bubur isuk2 enak ketoke,cuma mager men arep metu. adem wkwkw	Joy
aku,yaah standar sii sesuai harga ya 4 jam udah mulai luntur
setuju,lebih puas ajaa	Joy
apapun yang sedang terjadi,sesulit apapun yang ka arra hadapi. harus tetap kuat dan semangat yya! pacarnya renjun harus selalu kuat dong^^ so be strong and fighting pacar injun	Joy
anjay,semangat kk	Joy
thank you buat ga nya dom jogja semoga taehyun,member tubatu lainnya
ada badutan ga semalem chingu,butuh badutan 2 ayang biar semangat menjalani hari	Joy
keren yahh..,di pondok pintar ini mereka belajar dan fokus dengan apa yg diterangkan. semangat untuk kalian anak papua	Joy
hafal yang penting2 je. paling penting,accio. senang kalau malas amik barang.	Joy
happy birthday anak baik,anak manis yang selalu berharap dapat membahagiakan orang
yosh semangat teruus! maacii asmakdoen pantjen ouye! semangat jg buat elu maakk,penasaran nih w sama hari senin lu nanti :d	Joy
happy milad ya uni ku .insya allah diberikan umur yang panjang,diberikan kesehatan selalu
hallo makjii. goodmowning,dah bangun belum? semoga hari ini berjalan dengan lancar yaa mak. bahagia selalu dan sehat selalu tentunya. semoga hari ini ada rezeki ku dan bisa pakai . have a good day	Joy
our time de best banget sih,gue rewatch berapa kali tetep aja nangis :'( mana ost nya juga enak lgi	Joy
ini buat siapa woii,gua ngerasa soalnya lagi ga enak badan jugaa dari semalem
barakallahu fii umrik dok.. sehat,panjang umur
gud morning selamat pagi,ceria & sehat selalu	Joy
8,5/10 enakk bgt suka rasa kuah pedesnya
betul ah tu,aku selalu kena marah sebab tercegat kat depan kuali padahal sementara nak tunggu masak tu boleh buat benda lain hahahaha	Joy
puas harini boleh lepas dendam,selalu mai kerja hari sabtu jaa duk syok tengok org seberang rancak punya duk jogging apa.. settle 2 round arini alhamdulillah	Joy
terima kasih banyak dyppo nuna. iya lucu,klo aku gk bilang lucu nanti marah nuna wkwk. ayok party tp semuanya buat aku
iya anjir wkwk ngakak. sama kaya sakura pada ikut2an benci. nonton juga kaga. anehh. mending villain yg hakikatnya memang jadi musuh. lah ini mereka bukan villain anjir,punya chara development
guys klian hrus nntn mpua army sumpah,gemes bngttkontennya tuh nyobain eksperimen2 hng ad di tt atau video eksperimen buat sesuatu gtu.klo wksperimennya bhong atau ngk berhasil psti dia lgsg meong2 kek marah gtu
noblesse di webtoon eng udah daily pass,dulu gue kebut bacanya di eng sebelum dia daily pass wkwk tolol bgt	Joy
cocok temen sekelas gue waktu sma loyal dan kompak buat lekas bahkan waktu dulu sahabat gue yg cewe nangis karna dibentak adek kelas,anak cowok langsung pada emosi dan nekat mau nemuin itu ade kelas wkwk	Joy
santai bos,gak ush emosi
kalo dijawabkan dengan member nct. diriku di real life seperti jaemin,di sosmed seperti chenle and haechan. kalo emosi seperti renjun. kelakuan macam jisung. kalau baku hantam ya kek jeno lahh. mark terlalu sempurna jika dijabarkan dengan diri ku wkwkek	Joy
