text,intent
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Menurut kamu aku harus gimana menghadapi stres ini?,meminta_saran
Apa yang sebaiknya saya lakukan kalau kecemasan makin parah?,meminta_saran
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Menurut kamu aku harus gimana menghadapi stres ini?,meminta_saran
Apa yang sebaiknya saya lakukan kalau kecemasan makin parah?,meminta_saran
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Menurut kamu aku harus gimana menghadapi stres ini?,meminta_saran
Apa yang sebaiknya saya lakukan kalau kecemasan makin parah?,meminta_saran
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Menurut kamu aku harus gimana menghadapi stres ini?,meminta_saran
Apa yang sebaiknya saya lakukan kalau kecemasan makin parah?,meminta_saran
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Menurut kamu aku harus gimana menghadapi stres ini?,meminta_saran
Apa yang sebaiknya saya lakukan kalau kecemasan makin parah?,meminta_saran
Ada saran nggak supaya aku bisa lebih tenang?,meminta_saran
"Menurut Anda, apa langkah terbaik untuk mengatasi masalah ini?",meminta_saran
"Aku bingung harus cerita ke siapa, sebaiknya gimana ya?",meminta_saran
Apa yang harus saya lakukan untuk mengatur waktu lebih baik?,meminta_saran
Gimana caranya biar aku nggak overthinking terus?,meminta_saran
Boleh kasih aku saran biar tetap produktif?,meminta_saran
"Menurut kamu, aku harus mulai dari mana untuk memperbaiki keadaan ini?",meminta_saran
Saya butuh rekomendasi cara mengurangi stres.,meminta_saran
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
Gimana cara daftar konseling ULBK?,mencari_informasi
Layanan konseling buka jam berapa ya?,mencari_informasi
Apakah konseling tersedia online?,mencari_informasi
Di mana lokasi ruang ULBK?,mencari_informasi
Konseling butuh biaya atau gratis?,mencari_informasi
Jadwal psikolog minggu ini kapan saja?,mencari_informasi
Apa syarat untuk mengikuti sesi konseling?,mencari_informasi
Bagaimana prosedur assessment awal?,mencari_informasi
Apakah perlu membawa dokumen tertentu saat konseling?,mencari_informasi
Apakah hasil konseling dirahasiakan?,mencari_informasi
